PMF_m/z	HOA	BBOA	OOA1_BB	OOA2_BB-aq	OOA3
122.073	0.000281356	0.000817162	0.000297916	0.000269785	0.000452226
122.11	0.000858433	0.000521462	0.000120279	5.98679E-05	0.000191977
123.008	0	0.000114223	0.000342258	0.000124275	0.000284068
123.045	0.000523472	0.001908657	0.00080909	0.000461293	0.000562545
123.081	0.00011178	0.000997854	0.000361294	0.000458135	0.000647308
123.117	0.003778	0.001141758	0.000258358	0.000143861	0.000505923
124.016	5.64211E-05	0.000169276	0.000273547	0.00013141	0.000309893
124.052	0.000290873	0.001033018	0.000449958	0.000313914	0.000522724
124.089	0.000161427	0.000448614	0.000121315	0.000168984	0.000239165
124.125	0.000789681	0.000308855	5.80244E-05	0.000020454	0.000111806
125.024	0.000135844	0.000594551	0.000699984	0.000195376	0.000666634
125.06	0.000344789	0.000871317	0.000579705	0.000575905	0.000921083
125.097	0.000116499	0.00042969	0.000136116	0.000302243	0.000371017
125.133	0.0015307	0.000355854	8.16615E-05	1.91798E-05	0.000152426
126.032	2.92053E-05	0.000253065	0.000231906	0.00018963	0.000419193
126.047	0.000523612	0.000826045	0.000450437	5.75955E-05	0.000163716
126.068	0.000234678	0.00038619	0.000168567	0.000225815	0.000538966
126.104	9.23016E-05	0.000173528	3.51019E-05	8.21086E-05	0.000115061
126.141	0.000421279	0.000102201	2.59693E-05	7.93635E-07	3.71806E-05
127.039	5.53794E-05	0.000174779	0.000319723	0.000341625	0.000856386
127.055	0.000910399	0.001411227	0.000868831	0.000225475	0.000109171
127.076	0.00030086	0.000529075	0.000293072	0.000316803	0.000579665
127.112	0.000194249	0.000209139	2.35095E-05	0.000110274	0.00014998
127.149	0.000570609	0.000120278	2.43547E-05	1.54584E-05	3.83895E-05
128.047	1.04482E-05	2.15576E-05	0	9.20158E-05	0.000718015
128.063	0.00184811	0.002137287	0.00129966	0.000278939	0
128.084	0.000627644	0.000715249	0.000293022	0.000201672	0.000364498
129.019	0.000697196	0.000114922	0.000194571	0.000492882	0.000233535
129.055	0.000593993	0.000436068	3.74131E-05	0.000427447	0.000596666
129.07	0.00181592	0.001468912	0.00074323	0.000223277	6.11939E-05
129.092	0.000911739	0.00079773	0.000294358	0.000268386	0.000214828
130.042	0.000324584	0.000327734	0.000232793	0.000163308	0.000436044
130.078	0.0011188	0.000907633	0.000312866	0.000144101	0.000376238
130.998	0	0	1.89368E-05	3.46752E-05	0.000075024
131.05	0.00049221	0.00142863	0.000743977	0.000362141	0.000633342
131.086	0.00251963	0.00170473	0.000575918	0.000187551	0.000552922
132.021	6.91317E-05	5.09951E-05	8.65422E-05	4.63222E-05	0.000251334
132.057	0.000359685	0.000863556	0.000484453	0.000204759	0.000466352
132.094	0.000720859	0.000582306	0.000163584	6.10601E-05	0.000234873
132.115	6.15047E-05	1.18373E-05	4.33812E-06	1.83514E-06	1.55261E-05
133.029	0.000220832	0.000317321	0.000542699	0.000193317	0.000746356
133.065	0.000508725	0.001226167	0.000417268	0.000209356	0.000726091
133.102	0.00274647	0.001475072	0.000375078	9.04609E-05	0.000469047
134.037	0.000237337	0.000625553	0.000496423	0.000178827	0.000498017
134.073	0.000272408	0.000653214	0.000252697	0.000123455	0.00038061
134.109	0.000752031	0.000446009	0.000109345	3.30583E-05	0.000155451
135.045	0.000387777	0.001086192	0.000738575	0.000279918	0.000558462
135.081	0.000192619	0.000718465	0.000347261	0.000268236	0.000485638
135.117	0.00201717	0.0009624	0.000203561	0.000085876	0.000352
136.016	8.95433E-05	0.000160377	0.000203441	6.17546E-05	0.000273755
136.052	0.000269429	0.000884389	0.000454404	0.000172582	0.000423706
136.089	0.00015005	0.000392613	0.000106774	0.000110154	0.000227346
136.125	0.000481143	0.000261189	4.79739E-05	2.40175E-05	8.99411E-05
137.024	0.000147591	0.000430917	0.000525347	0.000152615	0.000549148
137.06	0.000896273	0.003021843	0.0006264	0.000190179	0.000149681
137.097	0.000124947	0.000788793	0.000127993	0.000188591	0.000209377
137.133	0.0015091	0.00042092	8.90977E-05	0.000037887	0.000200682
138.032	0.000100313	0.000322644	0.000224242	0.000179737	0.000402422
138.047	0.000251334	0.000355082	0	5.26768E-06	5.34144E-05
138.068	0.000249104	0.000780872	0.000154245	0.000154674	0.000235632
138.105	0.000102373	0.000235613	3.16005E-05	0.000065547	0.000120222
138.141	0.000385898	0.00013858	7.71725E-06	3.39727E-05	4.98486E-05
139.04	0.000231549	0.000392758	0.000515839	0.000458805	0.00064027
139.055	0	0.001114647	0	0	5.03617E-06
139.076	0.000387567	0.000557479	0.000291408	0.000373384	0.000496799
139.112	0.000103913	0.000260878	5.06171E-05	9.28642E-05	0.000172241
139.149	0.000443373	0.000115074	2.20285E-05	2.17231E-05	0.000050743
140.011	2.04076E-05	1.17143E-05	0.00006892	6.31526E-05	0.000101754
140.047	0.000131885	0.00034155	0.000132946	8.26882E-05	0.00046154
