PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
98.1051	0.000923213	0	0.000139905	6.39989E-05	6.99885E-05
98.1096	0.000851614	1.30788E-10	0.00027285	0.000100762	6.86058E-05
99.0082	0	1.66219E-10	0.000296299	0.00107511	0.000431522
99.019	1.37571E-05	4.07506E-06	1.12581E-05	6.33091E-05	4.07403E-05
99.0235	2.21131E-05	9.58942E-05	0.000363377	7.82093E-05	9.36771E-05
99.0446	0.000345049	0.00153284	0.000809333	0.0018377	0.000617524
99.0765	5.06024E-05	0.000213134	4.54894E-05	2.47664E-05	0.000018752
99.081	0.000242383	0.00104068	0.000148912	0.00051827	0.000132087
99.1129	6.44164E-05	7.51296E-06	2.09298E-05	6.98976E-06	4.60306E-06
99.1174	0.00188089	0.000279348	0.000265821	2.82406E-05	9.73082E-05
100.027	4.2583E-06	0	3.07122E-05	7.88541E-06	0.000013694
100.031	0.000184244	0.000155047	0.000396637	0.000237399	9.49396E-05
100.052	0.000186169	0.000200349	0.000208449	0.000560814	0.000190718
100.084	1.72578E-05	5.69784E-05	9.95636E-06	3.53867E-05	9.19313E-06
100.089	5.84071E-05	3.43271E-05	2.73839E-05	0.000111462	1.40785E-05
100.121	0.000146832	0	2.09252E-05	5.12864E-06	7.93307E-06
101.024	0	6.99412E-11	0.000260421	0.000999994	0.000221583
101.035	1.62246E-05	1.80541E-05	3.41522E-05	1.78282E-05	1.01745E-05
101.039	0.000402527	0.00115665	0.000766333	0.000185659	0.000335574
101.06	0.000322361	1.92552E-05	0.000266298	0.000558083	0.000146477
101.092	4.00653E-06	4.13332E-06	2.13895E-06	6.94556E-06	1.27174E-06
101.097	4.26604E-05	0.000056342	8.15047E-06	8.63014E-05	0
102.011	4.15366E-05	0	2.42209E-05	0.00018518	8.93631E-06
102.043	3.86618E-05	5.44969E-05	6.80438E-05	2.28017E-05	3.14894E-05
102.047	0.000846146	0.00178014	0.00155557	0.000561349	0.000832912
102.1	3.52357E-06	1.44148E-06	1.37379E-06	6.31374E-06	4.62734E-07
102.104	4.29925E-05	3.04899E-09	2.34714E-05	7.92314E-05	5.36366E-06
103.014	3.7718E-06	1.92081E-06	2.88421E-06	1.27567E-05	1.92695E-06
103.018	7.20491E-05	3.12894E-09	0.000153637	0.000362651	0.00012571
103.05	7.39117E-05	0.000147042	0.000134679	4.98364E-05	7.24124E-05
103.055	0.00137981	0.00271759	0.00179588	0.000861043	0.000922078
103.108	2.9465E-06	2.95942E-06	1.82509E-06	4.42755E-06	8.01002E-07
104.022	5.80825E-06	2.44209E-06	0.000011798	2.65231E-05	9.88784E-06
104.047	0	0.0015038	0	0	0
104.058	0.000121451	0.000211182	0.000156243	7.81361E-05	8.10429E-05
104.063	0.00120044	6.45398E-11	0.000849459	0.00056912	0.00047459
105.034	0.000293089	5.99624E-12	0.00107156	0.00118163	0.000863837
105.066	9.65535E-05	0.000124754	6.80147E-05	0.000029716	3.52335E-05
105.07	0.00588913	0.003156	0.00263598	0.00157466	0.00130892
106.037	1.73194E-05	7.00996E-05	7.83487E-05	8.12868E-05	6.04539E-05
106.042	0.000270026	4.47434E-11	0.000806145	0.000421019	0.000383789
106.074	0.000513879	0.000360978	0.000228826	0.000119165	0.000105679
106.078	0.00120631	0.00036703	0.000517852	0.000436617	0.000313475
107.045	1.70277E-05	5.50645E-05	5.86955E-05	2.37993E-05	2.60741E-05
107.05	0.000633684	4.20837E-11	0.00147562	0.00104828	0.000566882
107.082	0.000101213	0.000074216	4.31747E-05	3.10281E-05	2.54921E-05
107.086	0.00367594	0.00189761	0.00130699	0.00124262	0.000759521
108	1.65174E-06	1.09707E-06	0	0	3.11359E-06
108.021	0.000072408	1.56942E-10	0.000521925	0.000260456	0.000211577
