PMF_m/z	HOA	BBOA	OOA1_BB	OOA2_BB-aq	OOA3
12	0.00171151	0.005180773	0.0107083	0.0099992	0.012618
13.0078	0.000842464	0.003460782	0.00489967	0.00429247	0.00344813
15.0235	0.00780087	0.033546361	0.042442	0.0308544	0.0250958
15.9949	0.000109454	0.000457592	0.000721359	0.00124617	0.00163127
17.0027	0.000688031	0.002852639	0.00452444	0.00780752	0.0102558
18.0106	0.00275388	0.01167861	0.0168687	0.0311047	0.0415636
24	0.000235256	0.000750205	0.00087148	0.00102571	0.000865718
25.0078	0.00103448	0.002873939	0.0032072	0.00371308	0.00294519
26.0156	0.00644192	0.015847142	0.0180097	0.017808	0.0146289
27.0109	0.000691409	0.000663959	0.00593618	0.00255422	0.0107201
27.0235	0.0332309	0.038273916	0.0430385	0.0344146	0.0312698
27.9949	0.0122395	0.052395164	0.0789889	0.140516	0.186228
29.0027	0.00268073	0.050260734	0.0788157	0.0780702	0.04653
29.0391	0.0337055	0.02335474	0.0271707	0.0158757	0.0140446
30.0469	1.57281E-10	0.001403146	0.0128672	0.000153461	0.00251519
31.0184	0.000634928	0.023795469	0.0253221	0.0258335	0.0119807
36	4.21237E-05	0.001521798	0.00439363	0.00134429	0.000664904
37.0078	0.00174479	0.003525268	0.00345501	0.00342945	0.00268887
38.0157	0.00367824	0.00658576	0.0064261	0.00573797	0.00451873
39.0235	0.0338424	0.037731896	0.0271447	0.0222483	0.0159335
40.0313	0.00434178	0.007966357	0.00613315	0.00513676	0.00478686
41.0027	2.17579E-11	0.002545831	0.00110606	0.00292375	0.00522156
41.0391	0.101979	0.03798982	0.0375277	0.0250806	0.0236752
42.0106	0.00149196	0.017221953	0.0105982	0.0169891	0.0179495
42.0344	0.001011	0.002773732	0.0191517	0.00139765	0.00537984
42.047	0.0159029	0.007445375	0.0102619	0.00447849	0.00389484
43.0184	0.00784674	0.064229779	0.0512417	0.077949	0.0717819
43.0548	0.0897405	0.020596247	0.0190166	0.00742056	0.00654499
43.9898	0.0122395	0.052296913	0.0794192	0.140456	0.186298
44.0262	4.72051E-10	0.010634359	0.0153614	0.00706494	0.00885588
44.0626	0	0.000736363	0.0074602	0	0.000637911
44.9977	0.000533359	0.006080094	0	0.0129693	0.0123148
45.034	0.000261638	0.011669042	0.0112498	0.00687121	0.00537484
47.0133	5.87321E-05	0.004400867	0.00358142	0.00826516	0
48	8.00183E-05	0	0.00588423	0.0050796	0.00267116
49.0078	6.16941E-11	0.001147713	0.000915999	0.000597686	0.00059403
49.0289	9.54366E-06	0.000157616	0.000116061	0.000181905	0.00017063
50.0157	0.00349457	0.006116192	0.00515239	0.00454436	0.00390884
51.0235	0.00597324	0.010388455	0.0074562	0.00570463	0.00422009
51.9949	1.90E-10	0.000234148	0.000181458	0.00033865	0.000278411
52.0187	4.95145E-09	0.000167107	0.000209112	0	0.00135204
52.0313	0.00264306	0.005726848	0.00383735	0.00322441	0.00206247
53.0027	4.92857E-11	0.004083262	0.002871	0.0040673	0.00319601
53.0391	0.0122755	0.009942535	0.00769741	0.00701418	0.00590128
54.0106	7.81426E-11	0.002457332	0.00177465	0.00408983	0.00223776
54.0218	0	0.000576381	0.000965121	0.000542711	0.00153662
54.047	0.0108055	0.006137193	0.00407705	0.00237671	0.00246496
55.0184	0.00383613	0.021953152	0.00930671	0.0157366	0.0141217
55.0548	0.0854915	0.021648615	0.0188244	0.0103192	0.00839426
55.9898	4.82954E-11	0.000309181	0.000282416	0.00088956	0.0004665
56.0262	1.52004E-09	0.007861964	0.0048124	0.00414589	0.00287636
56.05	0.000952837	0.000327293	0.00437391	0	0.00245686
56.0626	2.45E-02	0.003593204	0.00749974	0.00244499	0.00172872
57.034	0.00127331	0.020524688	0.0117512	0.0104764	0.00647866
57.0704	0.0797835	0.009677106	0.0173992	0.00382361	0.00193021
58.0055	1.71681E-10	0.002047447	0.000957865	0.00365171	0.00150131
58.0293	8.91829E-11	7.76602E-05	0.000404953	0	0.00104679
58.0419	0.000696635	0.002795034	0.00161561	0.00289992	0.00307675
58.0657	0.00018674	0.000761931	0.0146378	0.00177069	0.000322122
58.0783	3.1603E-11	0	0.00345601	2.95689E-05	0
59.0133	0.000017177	0.002056841	0.000795213	3.01E-03	0.00185818
59.0317	3.82184E-11	0.000430924	0.000176564	0.000251487	0.000863868
59.0371	7.81926E-06	1.19673E-06	0	0	5.55732E-06
59.0497	0.000483933	0.001880005	0.00157207	1.68E-03	0.00224376
59.0735	0	0.000166719	0.00188014	0.000563555	0
59.967	3.23055E-05	3.33355E-05	9.81716E-05	0.000124807	0.000115514
60.0211	0.000529981	0.023661529	0.0157037	0.00728009	0.00102038
60.0449	0.000516581	0.002436725	0.00335422	0.000603192	0.00093347
61.0078	0.000382534	0.000375149	0	0.000229171	0.000638601
61.0289	0.000130139	0.004357424	0.0041339	0.00180623	0.000924666
61.9826	9.94398E-07	0	0	1.12102E-05	4.00439E-05
62.0157	0.000915993	0.002049082	0.0011427	0.0011016	0.000882816
62.0368	1.7205E-11	0.000418263	0.000381873	0.000150938	0.000201065
63.0235	0.00261708	0.005081698	0.00376328	0.00258826	0.00225276
64.0313	0.0010062	0.001776251	0.000571969	0.00040694	0.000802649
65.0027	0	6.38142E-05	0.000304856	0.000582408	0.000310276
