PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2	OOA3_BB-aq
06/05/2013 21:12	06/05/2013 21:17	0.955368116	0.507657971	1.448037681	0	0.16349942
06/05/2013 21:17	06/05/2013 21:21	1.039457971	0.426536232	1.637513043	0	0.164942029
06/05/2013 21:21	06/05/2013 21:26	0.71744058	0.365411594	1.375614493	0	0.119548986
06/05/2013 21:26	06/05/2013 21:31	0.750281159	0.389684058	1.085431884	0.143664928	0.068061739
06/05/2013 21:31	06/05/2013 21:35	0.591614493	0.485892754	0.834976812	0.170027826	0
06/05/2013 21:35	06/05/2013 21:40	0.591614493	0.590814493	0.657014493	0.242575072	0
06/05/2013 21:40	06/05/2013 21:45	0.486591304	0.579547826	0.668695652	0.237082609	0.027212928
06/05/2013 21:45	06/05/2013 21:49	0.438901449	0.441713043	0.90322029	0.195661159	0.051228696
06/05/2013 21:49	06/05/2013 21:54	0.423478261	0.379466667	0.925611594	0.192617681	0.09790087
06/05/2013 21:54	06/05/2013 21:59	0.445976812	0.37997971	1.06653913	0.16522029	0.095905507
06/05/2013 21:59	06/05/2013 22:03	0.437753623	0.481744928	1.035713043	0.155563478	0.120932464
06/05/2013 22:03	06/05/2013 22:08	0.433194203	0.469869565	1.018437681	0.16692058	0.125293043
06/05/2013 22:08	06/05/2013 22:13	0.413686957	0.453886957	1.129568116	0.131348696	0.146326087
06/05/2013 22:13	06/05/2013 22:17	0.408278261	0.435031884	1.015971014	0.214872754	0.167745217
06/05/2013 22:17	06/05/2013 22:22	0.356055072	0.333684058	1.035744928	0.237225797	0.198366087
06/05/2013 22:22	06/05/2013 22:27	0.387846377	0.357802899	1.129026087	0.208872754	0.185036232
06/05/2013 22:27	06/05/2013 22:31	0.322692754	0.423982609	1.163663768	0.102152754	0.24813913
06/05/2013 22:31	06/05/2013 22:36	0.431875362	0.344301449	1.221104348	0.16680029	0.27402
06/05/2013 22:36	06/05/2013 22:41	0.324857971	0.370136232	1.296350725	0.139286087	0.259882319
06/05/2013 22:41	06/05/2013 22:45	0.25746029	0.356785507	1.198408696	0.277492464	0.231744348
06/05/2013 22:45	06/05/2013 22:50	0.353313043	0.389533333	1.264753623	0.10020058	0.328318841
06/05/2013 22:50	06/05/2013 22:55	0.281081159	0.356730435	1.333266667	0.164313623	0.300208696
06/05/2013 22:55	06/05/2013 22:59	0.314339437	0.351904886	1.404943736	0.143100176	0.251032428
06/05/2013 22:59	06/05/2013 23:02	0.224673981	0.011610197	1.487008379	0.141742133	0.346638827
06/05/2013 23:02	06/05/2013 23:07	0.286208764	0.284163661	1.308813232	0.240103048	0.276884256
06/05/2013 23:07	06/05/2013 23:11	0.225125425	0.33742819	1.13314641	0.252320959	0.421361546
06/05/2013 23:11	06/05/2013 23:16	0.21408051	0.197839901	1.08898987	0.358758664	0.325333236
06/05/2013 23:16	06/05/2013 23:21	0.200914617	0.230388778	1.052414664	0.413865847	0.40240513
06/05/2013 23:21	06/05/2013 23:25	0.173730366	0.170279256	1.037097639	0.470586974	0.339985472
06/05/2013 23:25	06/05/2013 23:30	0.176787657	0.178236458	1.041508763	0.447298755	0.38359937
06/05/2013 23:30	06/05/2013 23:35	0.173712771	0.208139862	1.001036537	0.497987899	0.432547723
06/05/2013 23:35	06/05/2013 23:39	0.180978722	0.205249931	0.960544171	0.533487953	0.379172436
06/05/2013 23:39	06/05/2013 23:44	0.162450031	0.182352268	0.954758798	0.482473613	0.440822401
06/05/2013 23:44	06/05/2013 23:49	0.190728749	0.154411896	0.941976451	0.605511586	0.388149975
06/05/2013 23:49	06/05/2013 23:53	0.136976635	0.258736453	1.002544564	0.531223207	0.461949913
06/05/2013 23:53	06/05/2013 23:58	0.154726478	0.242305038	0.897517828	0.632049689	0.481994479
06/05/2013 23:58	07/05/2013 0:03	0.149684109	0.267316421	0.974122716	0.592057787	0.525119237
07/05/2013 0:03	07/05/2013 0:07	0.206514717	0.243220407	0.953427496	0.600999183	0.503551243
07/05/2013 0:07	07/05/2013 0:12	0.143576474	0.261621548	0.832216753	0.678226689	0.467288761
07/05/2013 0:12	07/05/2013 0:17	0.139255466	0.140733229	0.952244003	0.650986909	0.428458704
07/05/2013 0:17	07/05/2013 0:21	0.186644457	0.158140984	0.897938834	0.63718938	0.425676763
07/05/2013 0:21	07/05/2013 0:26	0.180480383	0.175871597	0.891566211	0.633507156	0.420605896
07/05/2013 0:26	07/05/2013 0:31	0.160923674	0.163957835	0.826872776	0.649596426	0.466316416
07/05/2013 0:31	07/05/2013 0:35	0.16549102	0.124023295	0.851662666	0.693027029	0.446014493
07/05/2013 0:35	07/05/2013 0:40	0.134735326	0.13116096	0.818222603	0.714094698	0.416680961
07/05/2013 0:40	07/05/2013 0:45	0.104761312	0.114370433	0.806094165	0.709618514	0.468503653
07/05/2013 0:45	07/05/2013 0:49	0.162648887	0.083703243	0.86275679	0.73949958	0.431158874
07/05/2013 0:49	07/05/2013 0:54	0.115165631	0.088589113	0.752805814	0.806025707	0.442158385
07/05/2013 0:54	07/05/2013 0:59	0.143590123	0.108945786	0.764242619	0.79324745	0.363454643
