PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	COA	BBOA	OOA1	OOA2
19/01/2021 17:05	19/01/2021 17:10	0.955928011	0.772947469	2.542423372	2.380354189	5.868757898
19/01/2021 17:10	19/01/2021 17:14	1.136558989	0.659547804	3.202732726	2.88405545	6.244682517
19/01/2021 17:14	19/01/2021 17:19	1.048409817	0.788733173	2.754124721	2.603290154	5.530875194
19/01/2021 17:19	19/01/2021 17:24	1.100347228	0.750080004	2.45319779	2.325796681	5.66855852
19/01/2021 17:24	19/01/2021 17:28	1.124974264	0.705565991	2.610636112	2.449661949	5.947346306
19/01/2021 17:28	19/01/2021 17:33	1.335334162	0.776921634	3.163997435	2.386331971	6.779089137
19/01/2021 17:33	19/01/2021 17:38	1.588401685	0.673430504	4.274627372	2.25098817	7.273439899
19/01/2021 17:38	19/01/2021 17:42	1.212351054	0.581337919	3.951865884	1.865041429	6.456743615
19/01/2021 17:42	19/01/2021 17:47	1.083984033	0.591116041	3.347394499	1.810280297	6.174234452
19/01/2021 17:47	19/01/2021 17:52	1.10230998	0.594575128	2.888902873	2.142214937	5.900925852
19/01/2021 17:52	19/01/2021 17:56	0.891829148	0.663846604	2.72786444	1.793797205	5.284283791
19/01/2021 17:56	19/01/2021 18:01	0.803941044	0.590633217	2.57917548	1.789388025	4.708918973
19/01/2021 18:01	19/01/2021 18:06	0.846129495	0.687938883	2.308751157	1.855090555	4.621221064
19/01/2021 18:06	19/01/2021 18:10	0.867185998	0.542230196	2.220350709	2.011215735	4.608025227
19/01/2021 18:10	19/01/2021 18:15	0.819106463	0.603242518	2.075787941	1.903965415	4.292410134
19/01/2021 18:15	19/01/2021 18:20	0.80350757	0.702540498	2.29826786	1.880883039	4.2608699
19/01/2021 18:20	19/01/2021 18:24	0.833774199	0.595684584	2.260639125	2.169844875	4.093304105
19/01/2021 18:24	19/01/2021 18:29	0.999052146	0.658389592	2.113455913	2.072527827	3.948497611
19/01/2021 18:29	19/01/2021 18:34	1.085414762	0.674693801	2.401672388	1.73418534	4.784471776
19/01/2021 18:34	19/01/2021 18:38	0.837950839	0.56929518	1.837704215	1.688420359	3.905074311
19/01/2021 18:38	19/01/2021 18:43	0.572581984	0.332943734	1.369190825	1.029883384	2.489067858
19/01/2021 18:43	19/01/2021 18:48	0.631982387	0.402388638	1.41269575	0.814196845	2.230461611
19/01/2021 18:48	19/01/2021 18:52	0.618910634	0.437769488	1.329437491	0.891317957	2.097617166
19/01/2021 18:52	19/01/2021 18:57	0.532616918	0.387652257	1.341143641	1.078349947	2.088211408
19/01/2021 18:57	19/01/2021 19:02	0.711605657	0.500117302	1.362675807	0.903810388	2.274765858
19/01/2021 19:02	19/01/2021 19:06	0.663681376	0.526016537	1.342681579	1.002835116	1.864956826
19/01/2021 19:06	19/01/2021 19:11	0.762678722	0.582625825	1.35358442	1.13567889	2.00143454
19/01/2021 19:11	19/01/2021 19:16	0.790785604	0.695491714	1.248049697	0.792938785	1.842089083
19/01/2021 19:16	19/01/2021 19:20	0.567389941	0.535756955	1.2803656	0.981979829	1.749128543
19/01/2021 19:20	19/01/2021 19:25	0.441256204	0.394420338	1.305743105	1.095734138	1.710306337
19/01/2021 19:25	19/01/2021 19:30	0.455217798	0.311030894	1.20024738	1.145235867	1.650647963
19/01/2021 19:30	19/01/2021 19:34	0.370162448	0.308879888	1.286078487	0.910984846	1.843165749
19/01/2021 19:34	19/01/2021 19:39	0.401102837	0.34348633	1.370743037	0.877560738	1.942857616
19/01/2021 19:39	19/01/2021 19:44	0.519300261	0.339301623	1.236922161	0.878836771	1.955271117
19/01/2021 19:44	19/01/2021 19:48	0.491576626	0.279657565	1.272185857	0.905020318	2.047113245
19/01/2021 19:48	19/01/2021 19:53	0.511061915	0.470231191	1.284190321	0.539105183	2.181154158
19/01/2021 19:53	19/01/2021 19:58	0.525674841	0.367064957	1.230553849	0.719198755	2.110009063
19/01/2021 19:58	19/01/2021 20:02	0.570229637	0.403026258	1.329077433	0.850904998	2.165044149
19/01/2021 20:02	19/01/2021 20:07	0.504703643	0.407403005	1.325554095	0.505433295	2.190811207
19/01/2021 20:07	19/01/2021 20:12	0.592453765	0.316696827	1.460172687	0.475184631	2.407118284
19/01/2021 20:12	19/01/2021 20:16	0.612840751	0.333198041	1.369324542	0.712825459	2.010559881
19/01/2021 20:16	19/01/2021 20:21	0.619843568	0.292807342	1.477865499	0.795317819	2.017701317
19/01/2021 20:21	19/01/2021 20:26	0.664234284	0.367688811	1.401330887	0.699944139	2.042152407
19/01/2021 20:26	19/01/2021 20:30	0.62311336	0.402854614	1.443999364	0.637024659	2.045707053
19/01/2021 20:30	19/01/2021 20:35	0.53002917	0.373659757	1.484361556	0.61746848	2.013835846
19/01/2021 20:35	19/01/2021 20:40	0.67815765	0.328506339	1.511199947	0.854774124	1.90451154
19/01/2021 20:40	19/01/2021 20:44	0.666243422	0.335471098	1.541292423	0.732499185	1.97892524
19/01/2021 20:44	19/01/2021 20:49	0.651376383	0.389819996	1.638976219	0.709396757	1.962157471
19/01/2021 20:49	19/01/2021 20:54	0.70190676	0.367152643	1.472730084	1.105879954	1.699869729
19/01/2021 20:54	19/01/2021 20:58	0.800927232	0.361583192	1.599716172	0.817011981	1.829249803
19/01/2021 20:58	19/01/2021 21:03	0.767121002	0.489905042	1.435423357	0.920792728	1.832354091
19/01/2021 21:03	19/01/2021 21:08	0.726081297	0.414105136	1.554910917	0.809119247	1.902017705
19/01/2021 21:08	19/01/2021 21:12	0.616109076	0.339165312	1.587396606	0.980051763	1.772768412
19/01/2021 21:12	19/01/2021 21:17	0.64503467	0.434801676	1.468288936	0.808571317	1.841461999
19/01/2021 21:17	19/01/2021 21:22	0.622373395	0.281333409	1.515958968	1.090887932	1.654271926
19/01/2021 21:22	19/01/2021 21:26	0.657003074	0.347806273	1.517945091	0.968644445	1.601531695
19/01/2021 21:26	19/01/2021 21:31	0.568701438	0.39357396	1.578183324	0.788255172	1.76048072
19/01/2021 21:31	19/01/2021 21:36	0.615572844	0.382812221	1.619980514	0.733278007	1.767443181
19/01/2021 21:36	19/01/2021 21:40	0.683336624	0.316037127	1.680310492	1.01789949	1.790686587
19/01/2021 21:40	19/01/2021 21:45	0.747144654	0.195895334	1.632382518	1.13704583	1.813853907
19/01/2021 21:45	19/01/2021 21:50	0.694070754	0.224630849	1.7654668	0.886935162	1.920450346
