PMF_m/z	HOA	BBOA	OOA1	OOA2_BB-aq	OOA3_BB
112.121	0.000367063	6.3362E-05	2.68859E-05	5.91406E-05	9.74689E-06
112.125	0.000457502	0.000138574	0.000112538	4.25481E-05	4.38851E-05
113.024	6.01865E-05	8.09568E-05	0.000517377	0.000748766	0.000349914
113.035	6.74326E-06	1.68886E-05	2.38643E-05	1.98857E-05	0
113.039	0.000278739	0.000660889	0.000501159	0.000382771	2.33156E-05
113.06	0.000300688	0.000539605	0.000831259	0.000806317	0.000611521
113.092	9.7708E-06	1.89818E-05	1.75921E-05	1.62184E-05	1.20843E-05
113.097	0.000186096	0.000183165	0.000165706	0.000341526	0.000129812
113.129	4.03508E-05	1.19764E-05	1.10987E-05	4.20627E-06	3.02311E-06
113.133	0.00103917	0.000116718	5.77198E-05	0.000125361	2.30192E-05
114.032	2.00283E-05	5.40872E-05	0.000546052	0.000365684	0.000107067
114.043	2.74629E-05	6.57665E-05	4.14534E-05	3.41436E-05	1.00991E-05
114.047	0.000146169	0.000481203	0.000305148	0.00014663	2.88256E-05
114.068	0.000130785	0.000241446	0.000440968	0.000318301	0.000169496
114.1	1.63598E-05	1.3828E-05	9.95834E-06	2.60008E-05	1.19101E-05
114.104	1.61623E-05	4.93363E-05	3.96185E-05	4.48485E-05	4.94973E-06
114.136	9.02613E-05	1.02141E-05	4.6508E-06	1.10389E-05	2.06727E-06
115.003	0	3.8706E-06	0.00052259	2.57531E-06	6.08087E-05
115.05	1.58899E-05	4.76621E-05	2.41245E-05	1.25742E-05	8.63427E-06
115.055	0.00217253	0.003875595	0.00217312	0.00136081	0.00176013
115.076	0.000759637	0.001369193	0.000255292	0.00012507	0.000455199
115.108	1.83512E-06	4.14566E-06	2.55012E-06	3.29161E-06	1.76804E-06
115.112	5.79697E-05	0.000172529	0	0.000169735	0.000020965
116.011	1.69844E-06	7.02886E-06	0.000217852	0	3.94092E-05
116.047	6.35926E-05	0.000328834	0.00061954	0.000354342	2.45049E-05
116.063	0.000754868	0.001057115	0.000535687	0.000149027	0.000407517
116.084	0.000207366	0.000361733	0.000158142	0.000181709	8.65639E-05
117.034	2.17482E-05	0.000264517	0.000683483	0.000216797	0.000104054
117.07	0.00210728	0.002073927	0.0013627	0.000494063	0.000913171
117.092	0.000638111	0.000582432	5.90775E-06	0.00015716	0.000283741
118.042	0.000227888	0.000711813	0.000695299	0.000439801	0.000320812
118.078	0.00110332	0.001032039	0.000563101	0.000307451	0.000458973
119.013	0.000120379	5.01109E-05	0.000223645	0.000131368	0.000119471
119.05	6.09966E-05	0.000974631	0.0011644	0.000597894	0.000269025
119.086	0.00413605	0.002413067	0.00063825	0.000810549	0.00105976
