PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	OOA1	OOA2
17/06/2012 8:34	17/06/2012 8:52	0.693533527	5.340558363	4.34104311
17/06/2012 8:52	17/06/2012 9:11	0.511972612	5.601908149	4.247758739
17/06/2012 9:11	17/06/2012 9:30	0.439280014	5.764588423	4.585981563
17/06/2012 9:30	17/06/2012 9:48	0.836910972	5.841625454	4.430523574
17/06/2012 9:48	17/06/2012 10:07	0.975025029	7.290949635	3.893485337
17/06/2012 10:07	17/06/2012 10:26	0.968189732	6.316375672	4.245139595
17/06/2012 10:26	17/06/2012 10:44	0.929582082	7.297470253	3.316623665
17/06/2012 10:44	17/06/2012 11:03	1.031518625	6.406756758	3.370554618
17/06/2012 11:03	17/06/2012 11:22	1.099915158	6.874940555	3.663824287
17/06/2012 11:22	17/06/2012 11:40	1.016682415	5.861747828	4.432164757
17/06/2012 11:40	17/06/2012 11:59	0.739314742	5.935408214	3.609485044
17/06/2012 11:59	17/06/2012 12:18	1.113244217	6.903668273	3.596522511
17/06/2012 12:18	17/06/2012 12:36	0.973879532	7.426710052	2.543780416
17/06/2012 12:36	17/06/2012 12:55	1.143556719	7.080555608	3.065367673
17/06/2012 12:55	17/06/2012 13:14	0.963220371	6.522662869	3.53165176
17/06/2012 13:14	17/06/2012 13:32	0.827242247	7.214153442	2.97786231
17/06/2012 13:32	17/06/2012 13:51	0.542852956	7.047545948	2.107999596
17/06/2012 13:51	17/06/2012 14:10	0.53099174	7.310449532	2.488782727
17/06/2012 14:10	17/06/2012 14:54	0.842858994	4.231516864	4.326069142
17/06/2012 14:54	17/06/2012 15:13	0.719288737	3.777169183	4.30988558
17/06/2012 15:13	17/06/2012 15:31	0.661229896	3.947141166	4.402262438
17/06/2012 15:31	17/06/2012 15:50	0.738739506	4.811898776	4.031996718
17/06/2012 15:50	17/06/2012 16:09	0.760848702	3.771476024	5.119215274
17/06/2012 16:09	17/06/2012 16:27	0.983115678	5.046753018	3.346556305
17/06/2012 16:27	17/06/2012 16:46	1.017478463	3.723945874	4.649970663
17/06/2012 16:46	17/06/2012 17:05	0.373883713	3.851394747	4.13685654
17/06/2012 17:05	17/06/2012 17:23	0.740274747	3.475756864	4.225013388
17/06/2012 17:23	17/06/2012 17:42	0.521575945	3.451530907	3.652411648
17/06/2012 17:42	17/06/2012 18:01	0.650370127	2.663471049	3.641797824
17/06/2012 18:01	17/06/2012 18:19	0.449096504	2.251085768	3.707222228
17/06/2012 18:19	17/06/2012 18:38	0.445842182	0.992587498	4.54932582
17/06/2012 18:38	17/06/2012 18:57	0.547508939	1.139974949	4.273765612
17/06/2012 18:57	17/06/2012 19:15	0.528618623	1.086296328	3.964207549
17/06/2012 19:15	17/06/2012 19:34	0.471232829	0.357416978	4.528270194
17/06/2012 19:34	17/06/2012 19:53	1.077613995	0	4.763331005
17/06/2012 19:53	17/06/2012 20:11	0.823220524	0.182726058	4.362459419
17/06/2012 20:11	17/06/2012 20:30	0.777777594	0.091387566	4.897665341
17/06/2012 20:30	17/06/2012 20:49	1.200990467	0	5.500899533
17/06/2012 20:49	17/06/2012 21:07	1.440829182	0	5.423435818
17/06/2012 21:07	17/06/2012 21:26	0.953899295	0.238900712	5.084404994
17/06/2012 21:26	17/06/2012 21:45	1.18008685	0	5.58204315
17/06/2012 21:45	17/06/2012 22:03	1.448619632	0	5.597510368
17/06/2012 22:03	17/06/2012 22:22	1.387178044	0	6.213896956
17/06/2012 22:22	17/06/2012 22:41	1.754184128	1.217236184	5.883364688
17/06/2012 22:41	17/06/2012 22:59	2.382717723	1.012816495	6.064885832
17/06/2012 22:59	17/06/2012 23:16	2.480598694	0.45181912	6.803147186
17/06/2012 23:16	17/06/2012 23:35	2.215155564	1.305579128	6.152680308
17/06/2012 23:35	17/06/2012 23:53	2.109598417	1.321338121	6.385757962
17/06/2012 23:53	18/06/2012 0:12	1.562192058	1.369828936	7.902744006
18/06/2012 0:12	18/06/2012 0:31	1.120016145	1.984903327	7.332990528
18/06/2012 0:31	18/06/2012 0:49	1.414558137	2.742753787	6.630796126
18/06/2012 0:49	18/06/2012 1:08	1.624074104	1.78074992	7.629675977
18/06/2012 1:08	18/06/2012 1:27	1.831833689	0.868969795	8.132586516
18/06/2012 1:27	18/06/2012 1:45	1.804620368	1.882040271	7.240506861
18/06/2012 1:45	18/06/2012 2:04	1.644750012	2.358166585	6.743064402
18/06/2012 2:04	18/06/2012 2:23	2.058339011	0.977098955	7.623128533
18/06/2012 2:23	18/06/2012 2:41	1.989254736	0.792553216	8.280500549
