PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1	OOA2_BB-aq	OOA3_BB
22/10/2012 21:04	22/10/2012 21:09	0.659869307	0.901636029	1.468881603	0.903480663	2.334803126
22/10/2012 21:09	22/10/2012 21:14	0.493685718	0.870848847	1.317752516	0.967225534	2.322152613
22/10/2012 21:14	22/10/2012 21:18	0.433294721	0.893784663	1.36452552	0.912996968	2.339575128
22/10/2012 21:18	22/10/2012 21:23	0.453524833	0.882173655	1.300428866	0.929165872	2.297273138
22/10/2012 21:23	22/10/2012 21:28	0.336595992	0.871993351	1.225803108	1.01721815	2.280552798
22/10/2012 21:28	22/10/2012 21:32	0.404567828	0.915072784	1.370992252	0.95747605	2.234833272
22/10/2012 21:32	22/10/2012 21:37	0.396230194	0.816312192	1.258136167	0.974565527	2.334187224
22/10/2012 21:37	22/10/2012 21:42	0.405232977	0.890865402	1.234344304	1.010663606	2.341350963
22/10/2012 21:42	22/10/2012 21:46	0.464634596	0.948130875	1.412422604	1.007545074	2.107427577
22/10/2012 21:46	22/10/2012 21:51	0.459260381	0.838192761	1.47120698	0.934100824	2.122414768
22/10/2012 21:51	22/10/2012 21:56	0.48701468	0.888152575	1.420932938	1.082133403	2.000792155
22/10/2012 21:56	22/10/2012 22:00	0.413370884	0.887743855	1.270253883	0.925055797	2.216673016
22/10/2012 22:00	22/10/2012 22:05	0.416372276	0.890164084	1.258249385	1.027135547	2.123244828
22/10/2012 22:05	22/10/2012 22:10	0.624247121	0.86471525	1.341758953	0.946401293	2.180220351
22/10/2012 22:10	22/10/2012 22:14	0.42398974	0.900828665	1.221849753	1.013428852	2.262767598
22/10/2012 22:14	22/10/2012 22:19	0.429185565	0.822447222	1.316625341	0.932771672	2.159240266
22/10/2012 22:19	22/10/2012 22:24	0.466872935	0.785711825	1.305443076	0.98493842	2.140442575
22/10/2012 22:24	22/10/2012 22:28	0.383373668	0.804437118	1.27716663	1.056286262	2.012872864
