PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
12	0.00164495	0.00865412	1.12715E-09	0.0109495	0.0119767
13.0078	0.000940112	0.00365669	0.00104921	0.0050397	0.00516741
15.0235	0.00680748	0.0279624	0.0347122	0.029126	0.030413
25.0078	0.00100375	0.00348819	0.000463329	0.00475247	0.00465138
26.0156	0.00627046	0.0194314	0.00919163	0.0226533	0.0220089
27.0235	0.0252386	0.0559859	0.0534192	0.0442177	0.0437712
27.9949	0.0103482	0.0344606	0.0223408	0.138459	0.141543
29.0027	0.00414677	0.0298721	0.0285757	0.0467903	0.0385377
29.0391	0.0294426	0.0326378	0.0420492	0.0169001	0.0172427
30.0106	0.0016446	0.00267069	0.0030943	0.0151273	0.0136604
30.0469	0.000516682	2.73559E-10	7.55813E-10	0.00197078	0.00221155
31.0184	0.00135861	0.012426	0.0186171	0.0123557	0.0135701
37.0078	0.00142637	0.00506418	0.00262227	0.00484195	0.00477147
38.0157	0.0027475	0.00908201	0.0054116	0.00822433	0.00811058
39.0235	0.0287226	0.00847443	0.00981859	0.0443105	0.043371
40.0313	0.0045975	0.013046	0.000178712	0.0109776	0.0109956
41.0027	0.000299234	6.23278E-11	0.00820693	0.00445384	0.00480921
41.0391	0.0846269	0.0712635	0.060207	0.034362	0.0333866
42.0106	0.00239861	0.0132479	0.0182094	0.0246582	0.0252458
42.047	0.0117396	0.0125078	0.0122623	0.00668013	0.00605377
43.0184	0.011078	0.067058	0.10366	0.0851536	0.086671
43.0548	0.0972067	0.034088	0.0274987	0.00560698	0.00585934
43.9898	0.0103482	0.0344606	0.0223408	0.138459	0.141543
44.0262	0.000741058	0.0031373	0.0154055	0.00609153	0.00563953
44.05	0.000123419	1.07181E-09	0.00857521	0.00156611	0.00173671
44.0626	0.000104969	2.12872E-05	2.46637E-05	0.000197074	4.16142E-05
44.9977	0.00091691	0.00397632	0.0053442	0.00882095	0.0103707
45.0215	0.000215288	0.000256045	0.00130826	0	0.000866275
45.034	0.000614643	0.00524718	0.00994475	0.00434178	0.00401663
45.0578	7.63693E-05	1.15876E-05	0.00120129	0.000353496	0.000455783
46.0055	0.00038684	9.33405E-12	1.54943E-11	0.00302572	0.00221548
47.0133	5.60768E-05	0.000606758	0.00234801	0.000753338	0.000706914
47.0371	8.18185E-06	8.38365E-06	9.71342E-06	3.16902E-05	4.43591E-05
49.0078	0.000346723	5.05311E-11	7.50657E-10	0.00109035	0.00117443
50.0157	0.00231322	0.00934523	0.00544266	0.00629287	0.00613177
51.0109	7.60562E-05	0.000589959	0.0010715	0	0.00017406
51.0235	0.0039722	0.0138689	0.00969723	0.00864241	0.00793949
52.0313	0.00183779	0.00692824	0.00426716	0.00522499	0.00485496
53.0027	0.000268931	0.00134	0.00456625	0.00269438	0.00247975
53.0391	9.03E-03	0.0156813	0.0174814	0.0107351	0.010588
54.0106	0.000267501	0.00183125	0.000136103	0.00239048	0.0028686
54.047	0.00720815	0.0109148	0.00751532	0.00472166	0.00427648
55.0184	0.00204572	0.0261283	0.0322346	0.0173488	0.0182409
55.0548	0.0878643	0.0387685	0.0319875	0.00987426	0.00980713
56.0262	0.000287128	0.00624634	0.00561895	0.00423731	0.00407588
56.0626	0.020974	0.00925477	0.00516276	0.00285794	0.0023624
57.034	0.00010702	0.0119168	0.0192887	0.00693465	0.00661807
57.0704	0.0909168	0.00984103	0.00097464	0.00137475	0.00102456
58.0055	4.99718E-05	2.07128E-10	0.00072269	0.00125034	0.00109952
58.0419	0.000796314	0.00415839	0.00564066	0.00533917	0.00473853
58.0657	8.72873E-05	1.36257E-09	0.002543	0.00058653	0.000860671
58.0783	0.00010897	1.09717E-05	7.50764E-11	0.00010507	6.07802E-05
59.0133	3.02E-05	0.00044361	0.00141787	0.000551581	0.00062251
59.0245	9.67333E-06	3.73526E-05	4.32772E-05	0.000332667	5.04733E-05
59.0497	0.000470648	0.00273476	0.00370891	0.00355945	0.00351318
59.967	1.73877E-05	0.000167743	0.000481941	2.49959E-05	4.77078E-05
60.0211	0.000300023	0.00718204	0.0138705	0.00245042	0.00252572
60.9926	2.58304E-05	9.68825E-06	0.000011225	2.51626E-06	4.27922E-05
61.0078	0.000182445	0.000701384	0.00273045	0.000449436	0.000433732
61.0289	0.000080164	0.00132209	0.00262935	0.000772332	0.00075536
61.9826	8.17568E-06	8.44803E-10	0.000084722	9.94E-05	9.37024E-05
62.0157	0.000446755	0.00269801	0.00187023	0.00132182	0.0011317
62.0368	3.39992E-05	1.23691E-11	1.59932E-11	0.000111707	7.36833E-05
62.9905	3.8287E-06	4.05478E-05	4.69793E-05	2.14E-04	0.000167102
63.0235	0.0014387	0.00676739	0.00515424	0.00210466	0.00258428
63.032	7.01805E-05	0.000060593	7.02039E-05	0.000710158	0.000065714
64.0313	0.000365018	0.00490758	1.21328E-09	0.000583934	0.000822152
65.0391	0.00421803	0.0115938	0.00956543	0.00521064	0.00502537
66.0106	0.000012107	0.00201145	1.12684E-10	0.000320721	0.000370441
66.047	0.00194798	0.00541093	0.00332791	0.00288749	0.00273913
67.0548	0.0314102	0.0261148	0.00955044	0.00814371	0.00791913
68.0262	0.000334567	0.00267493	0.00368133	0.00276677	0.00330206
68.0626	0.00749737	0.00644869	0.00589238	0.00226174	0.0021327
68.9977	0.000188496	0.00108351	0.00280828	0.00185378	0.00204281
69.034	0	0.005345	0.00829099	0.00427931	0.00464841
69.0704	0.0555714	0.0154702	0.011354	0.00304091	0.00321148
70.0055	4.07601E-05	0.000182069	0.000815668	0.000830579	0.000763183
70.0167	5.61237E-05	2.37704E-05	2.75407E-05	1.94073E-05	0.000105373
70.0419	0.000329932	0.00367056	0.0070987	0.00265724	0.00270803
71.0133	0	0.00144496	0.0032472	0.00268193	0.00287066
71.0371	0.000311415	2.63829E-05	3.05676E-05	0	8.62455E-05
71.0497	0	0.00560615	0.00836367	0.00393848	0.00400222
71.0861	0.038859	0.00304963	7.20016E-10	0.000204059	0.000173424
72.0211	6.67211E-05	0.000483957	0.00134268	9.38E-04	0.00104343
72.0449	4.75949E-05	3.73826E-05	7.23374E-05	0	7.81002E-05
72.0575	0.000130996	0.000646142	0.000443745	0.000827161	0.000707188
72.0813	1.05654E-05	2.01538E-05	2.33505E-05	5.61373E-05	8.47633E-05
73.0078	7.96955E-05	1.57869E-11	0.00107038	0.000116983	9.74926E-05
73.029	0.0002568	0.0046071	0.0113292	0.00126628	0.00206001
73.0402	5.74477E-05	3.36046E-05	3.64559E-11	0.00107355	0.000310123
73.0528	6.72E-05	4.85034E-05	5.61967E-05	0	0.000238459
74.0156	0.000378875	0.00193289	1.52E-03	0.000459482	0.000638498
74.0242	2.23282E-05	4.72406E-05	5.47336E-05	0.00023833	0.000093222
74.0368	8.41535E-05	0.000882231	0.00216452	0.000742005	0.000866435
74.048	4.96513E-05	1.01705E-10	4.41575E-11	0.00015603	9.83755E-05
74.0732	1.13298E-05	2.54813E-05	0.000305484	0	1.29264E-05
74.9905	9.45635E-07	2.31286E-06	2.67972E-06	2.26153E-05	2.23477E-06
74.9956	1.77048E-06	2.75132E-06	3.18772E-06	1.49743E-05	5.86438E-06
75.0082	3.15E-05	4.34657E-11	0.000128667	4.55346E-05	0.000118356
75.0235	0.000317751	0.00173571	0.00169154	0.000294974	0.000365614
75.032	4.07305E-05	0.000034886	4.04194E-05	6.36589E-05	5.49771E-05
75.0558	1.45798E-05	3.32765E-10	0.000307475	5.00952E-05	4.39085E-05
75.0684	1.22191E-05	2.64098E-06	3.05988E-06	2.24043E-06	1.09154E-05
75.9619	0	8.27663E-06	9.58942E-06	6.32284E-05	2.84458E-05
76.016	5.02529E-05	2.01445E-10	0.000209257	0.000173386	0.000549222
76.0313	0.000478982	0.00274904	0.00209676	0.000803714	0.000766386
76.0399	3.20809E-05	3.04818E-05	3.53166E-05	1.85E-04	5.80559E-05
77.0391	0.00659666	0.0143947	0.0142602	0.00551433	0.00534468
