PMF_m/z	HOA	BBOA	OOA1	OOA2	OOA3
72.0575	0.000181846	0.000345609	0.000326097	0.000708232	0.000725068
72.0939	6.51545E-11	3.12111E-11	0.000071783	9.80855E-05	0.000120206
73.0078	2.39427E-10	0.000833657	0.000173608	0.000312473	0.00038617
73.0402	1.39056E-05	2.83946E-11	0.000462104	0.000243433	0.00204576
74.0156	0.00091888	0.00118673	0.000561883	0.000766126	0.0008093
74.0368	0.000255334	0.00168576	0.000285213	0.000680958	0.000537397
74.0732	4.92202E-05	0.000237923	8.96239E-05	7.79002E-05	0.000140647
75.0235	0.00071633	0.00131749	0.000268411	0.000225157	0.000788141
75.0446	3.10963E-11	2.18394E-11	0.000150637	0.000264186	0.000163363
76.0035	0	0	0.000425876	0.00031083	0.000187671
76.0313	0.0011727	0.00163294	0.000639998	0.00105832	0.00124843
77.0027	1.58758E-08	2.59898E-07	0.00030469	0.000582705	0.000346964
77.0391	0.0106343	0.0111056	0.000718911	0.00557821	0.00267741
78.047	0.00405543	0.00250168	0.00059811	0.00278194	0.00151827
78.9854	3.29848E-10	0.000436668	0.00312975	0	0.00111369
79.0548	0.0168244	0.0121076	0.000763346	0.00650219	0.00229805
79.9898	0.00102091	0.00427396	0.0233164	0.00024476	0.000441656
80.0262	0.000255522	0.00138602	0	0.0010101	0.000770867
80.0626	0.00426424	0.00309402	0.000376604	0.00162698	0.000441287
81.034	0.000936717	0.00393669	0.000318481	0.00270931	0.00170407
81.0704	0.0232268	0.00734318	0.000466246	0.00366991	0.000377607
82.0055	1.01189E-07	0.000205903	0.000514489	0.000450069	0.000514894
82.0419	0.000264313	0.00270309	0.000537105	0.00224658	0.00146715
82.0782	0.00818267	0.0019213	0.000298155	0.00127206	0.000168355
83.0133	3.68082E-11	0.00115922	0	0.000277342	0.00065091
83.0497	0.00105019	0.00582937	0.000472498	0.0028317	0.000399908
83.0861	0.0222009	0.00112822	0.00061607	0.00135917	0.000515557
84.0211	2.97605E-11	2.51178E-11	0.000374289	0.000741541	0.000766061
84.0575	1.30155E-10	0.00310379	0.000347298	0.00146429	0.000524543
84.0939	0.000164516	1.5195E-10	0.000268952	0.00112439	0.000259196
85.0078	8.33401E-11	0.000151228	0.000378946	0.000265321	0.000319764
85.029	4.93394E-11	0.00347782	0.000718345	0.00138205	0.00173003
85.0653	0.00116377	0.00122876	0.000384066	0.00102904	0.00043173
85.1017	0.0124065	6.78947E-10	4.91101E-05	0.000469426	8.91893E-05
86.0156	0.000194222	0.000142652	0.000126654	0.000170366	0.000195866
86.0368	2.723E-11	0.000661362	0.000301654	0.000471996	0.000482464
86.0732	0.000151731	4.91334E-05	8.01554E-05	0.000195194	0.00014203
86.9956	0.000121517	0.000404818	0.000444119	8.79555E-05	0.000427163
87.0082	1.41583E-11	2.25136E-05	0	0	2.32163E-05
87.0446	0.000313556	0.00146091	0.000250112	0.000670264	0.000526808
87.081	4.80686E-05	0.000180625	7.43894E-05	0.000140183	7.37793E-05
87.9949	2.05717E-05	0.000826677	8.72748E-05	4.91981E-05	0.000134677
88.0399	7.98709E-05	0.000363712	2.55575E-05	1.00326E-05	5.51098E-05
89.0027	2.5176E-06	3.91427E-05	9.77416E-05	4.18493E-05	6.56361E-05
89.0391	0.00147639	0.00173348	5.87047E-05	0.000589307	0.000549791
89.0603	8.94392E-12	6.37969E-12	0.000140478	0.000273157	2.33452E-05
89.9775	3.99884E-05	0.000191476	1.34103E-05	1.35821E-06	4.45947E-05
90.047	0.000312287	0.000515424	5.31265E-05	0.000218806	0.000163282
90.0681	1.71774E-05	0.00073583	4.85518E-05	8.36119E-05	4.57751E-05
91.0548	0.0170627	0.0119267	0.000539601	0.00638449	0.00203913
91.9898	0.000190306	0.00185592	0.000154825	5.21943E-06	0.000252254
92.0626	0.00274892	0.000945664	0.000160573	0.000976702	0.000438746
92.9977	0.00014423	0.00177313	0.000207342	3.41211E-05	0.000189918
93.0704	0.00879334	0.00496217	0.000148833	0.00226916	0.000396372
93.9725	5.74173E-05	0.000466107	3.59468E-05	4.18343E-06	5.64468E-05
