PMF Time (UTC)	PMF Time (Local)	HOA	BBOA	OOA1	OOA2	OOA3
08/04/2016 6:52	08/04/2016 8:52	0.098438649	0.03691544	0.094733263	0.680271699	0.717944101
08/04/2016 6:57	08/04/2016 8:57	0.117183569	0.001224316	0.058356796	0.49334676	0.846223401
08/04/2016 7:02	08/04/2016 9:02	0.145699858	0.028804845	0.07019349	0.475946202	0.682865855
08/04/2016 7:07	08/04/2016 9:07	0.109096402	0.000158952	0.045908704	0.322609583	0.716632738
08/04/2016 7:12	08/04/2016 9:12	0.051673988	0.023926089	0	0.292781075	0.612299384
08/04/2016 7:17	08/04/2016 9:17	0.043935089	0.001020939	0.084312213	0.347518338	0.499263607
08/04/2016 7:22	08/04/2016 9:22	0.04790689	0.018111952	0.045458441	0.286788517	0.374342711
08/04/2016 7:27	08/04/2016 9:27	0.027882463	0.015271665	0.051087588	0.217164856	0.414586413
08/04/2016 7:32	08/04/2016 9:32	0.051127444	0.001649789	0.031225439	0.246129122	0.394681694
08/04/2016 7:37	08/04/2016 9:37	0.078653781	0.012422836	0.01294941	0.11939903	0.523589534
08/04/2016 7:42	08/04/2016 9:42	0.060439692	0.015572507	0.026901512	0.27238638	0.444886326
08/04/2016 7:47	08/04/2016 9:47	0.063109987	0.015611077	0.027397916	0.27264351	0.330700607
08/04/2016 7:52	08/04/2016 9:52	0.017780254	0.001670774	0.020908669	0.290399765	0.34764976
08/04/2016 7:57	08/04/2016 9:57	0.040205561	0.009826994	0.021754341	0.264193933	0.363304691
08/04/2016 8:02	08/04/2016 10:02	0.053703172	0.000402784	0.047858607	0.209680944	0.369912932
08/04/2016 8:07	08/04/2016 10:07	0.047107787	0.000577427	0.001248916	0.233695458	0.391477568
08/04/2016 8:12	08/04/2016 10:12	0.035234095	0.003833523	0.018358082	0.254462991	0.376576885
08/04/2016 8:17	08/04/2016 10:17	0.03347804	0.007128715	0.027970316	0.150065354	0.453783024
08/04/2016 8:22	08/04/2016 10:22	0.038480647	0.000658531	0.052174105	0.124381638	0.469142256
08/04/2016 8:27	08/04/2016 10:27	0.041303649	0.023429828	0.020135279	0.189807652	0.35221096
08/04/2016 8:32	08/04/2016 10:32	0.019393745	0.012623883	0.022231174	0.232854071	0.367430199
08/04/2016 8:37	08/04/2016 10:37	0.043222839	0.025189598	0.04110623	0.191121872	0.353748026
08/04/2016 9:15	08/04/2016 11:15	0.034389709	0.000931573	0.035987915	0.275230524	0.335720356
08/04/2016 9:20	08/04/2016 11:20	0.096027341	0.004796332	0.029578092	0.207395344	0.431171298
08/04/2016 9:25	08/04/2016 11:25	0.046575528	0.016237902	0	0.264735334	0.338178805
08/04/2016 9:30	08/04/2016 11:30	0.084104366	0.001382909	0.03074132	0.233289764	0.39173327
08/04/2016 9:35	08/04/2016 11:35	0.013366889	0.006116451	0.01322701	0.288519859	0.39433314
08/04/2016 9:40	08/04/2016 11:40	0.046596384	0.009559851	0.026761662	0.187267779	0.358797774
08/04/2016 9:45	08/04/2016 11:45	0.0377204	0.001264087	0.056263615	0.231271293	0.386622097
08/04/2016 9:50	08/04/2016 11:50	0.093921732	0.010810488	0.011197212	0.159184898	0.420698964
08/04/2016 9:55	08/04/2016 11:55	0.083886805	0.003565536	0.058306799	0.164813188	0.398087238
08/04/2016 10:00	08/04/2016 12:00	0.035311806	0.016814874	0.034844686	0.190667609	0.356260758
08/04/2016 10:05	08/04/2016 12:05	0.028193162	0.001230491	0.023735242	0.225571578	0.407295349
08/04/2016 10:10	08/04/2016 12:10	0.067801753	0.00133922	0.019554594	0.119174184	0.446304827
08/04/2016 10:15	08/04/2016 12:15	0.04879656	0.023510539	0.043370831	0.114478419	0.307390344
08/04/2016 10:20	08/04/2016 12:20	0.050886598	0.001028393	0.018823916	0.099539737	0.339698729
08/04/2016 10:25	08/04/2016 12:25	0.018197233	0.021241081	0.003245466	0.146331255	0.290441192
08/04/2016 10:30	08/04/2016 12:30	0.029125544	0.021308363	0	0.087685473	0.357214996
08/04/2016 10:35	08/04/2016 12:35	0.053633318	0.015154099	0.062826144	0	0.431341289
08/04/2016 10:40	08/04/2016 12:40	0.052036541	0.032786932	0.004135279	0.017830251	0.369657231
08/04/2016 10:45	08/04/2016 12:45	0.062717578	0.003075132	0.031430286	0.136408179	0.294708121
08/04/2016 10:50	08/04/2016 12:50	0.074676837	0.002089796	0.030518045	0.119963287	0.316071339
08/04/2016 10:55	08/04/2016 12:55	0.037016006	0.02752291	0.017983958	0.064536344	0.431015591
08/04/2016 11:10	08/04/2016 13:10	0.048320012	0.008954881	0.001439571	0.015952917	0.448864699
08/04/2016 11:15	08/04/2016 13:15	0.032651796	0.026935796	0.006896098	0.029968073	0.366398822
08/04/2016 11:20	08/04/2016 13:20	0.014483133	0.001927104	0.021693201	0.111097588	0.340932953
08/04/2016 11:25	08/04/2016 13:25	0.042583156	0.002961909	0.045492868	0.130641182	0.340908668
08/04/2016 11:30	08/04/2016 13:30	0.054329998	0.00211368	0.012439749	0.023277693	0.479056046
08/04/2016 11:35	08/04/2016 13:35	0.049327391	0.022489447	0.064180791	0	0.423794524
08/04/2016 11:40	08/04/2016 13:40	0.069592806	0.000877823	0.008018156	0.049320391	0.45811995
08/04/2016 11:45	08/04/2016 13:45	0.044651196	0.029615805	0.051966402	0	0.477954673
08/04/2016 11:50	08/04/2016 13:50	0.04676209	0.00503152	0.03239738	0.08930182	0.520276842
08/04/2016 11:55	08/04/2016 13:55	0.008645225	0.003896105	0	0.208800988	0.324495203
08/04/2016 12:00	08/04/2016 14:00	0.06323041	0.003673702	0.043108273	0.048086738	0.464518202
08/04/2016 12:05	08/04/2016 14:05	0.061155942	0.002566057	0.064780332	0.090138636	0.362529016
08/04/2016 12:10	08/04/2016 14:10	0.046675238	0.001768797	0.017112859	0.062953566	0.36961009
08/04/2016 12:15	08/04/2016 14:15	0.057553265	0.000464861	0.029529809	0.090124208	0.378539644
08/04/2016 12:20	08/04/2016 14:20	0.052270958	0.001774526	0.005020363	0.11645332	0.324728049
08/04/2016 12:25	08/04/2016 14:25	0.040749391	0.016273901	0	0	0.406232545
08/04/2016 12:30	08/04/2016 14:30	0.058669495	0.001953859	0.025574578	0	0.408085309
08/04/2016 12:35	08/04/2016 14:35	0.052080539	0.002516088	0.026109837	0	0.371859978
08/04/2016 12:40	08/04/2016 14:40	0.03956445	0.000389611	0.003754412	0	0.395030248
08/04/2016 12:45	08/04/2016 14:45	0.051833265	0.001999957	0.037091003	0.029323962	0.362993278
08/04/2016 12:50	08/04/2016 14:50	0.067270779	0.03014735	0.013631747	0.037549837	0.382200889
08/04/2016 12:55	08/04/2016 14:55	0.059815581	0	0.024387066	0.1128525	0.341591491
08/04/2016 13:00	08/04/2016 15:00	0.0442925	0.001042036	0.022373881	0.079140186	0.43895948
08/04/2016 13:10	08/04/2016 15:10	0.055639218	0.001637718	0.02148564	0.085256308	0.346704093
08/04/2016 13:15	08/04/2016 15:15	0.021753198	0.024659624	0.004266472	0	0.432039826
08/04/2016 13:20	08/04/2016 15:20	0.057449556	0.001153541	0.006896655	0.09168313	0.418681922
08/04/2016 13:25	08/04/2016 15:25	0.030644611	0.003144943	0.026664952	0.06831887	0.422576013
08/04/2016 13:30	08/04/2016 15:30	0.026351682	0.014281314	0.025804424	0.098836915	0.416517745
08/04/2016 13:35	08/04/2016 15:35	0.023035277	0.000411919	0.008048698	0.080211418	0.423025991
08/04/2016 13:40	08/04/2016 15:40	0.030019213	0.02396823	0.010030184	0	0.469637946
08/04/2016 13:45	08/04/2016 15:45	0.062087038	0.008102109	0.021903048	0.081215653	0.340234416
08/04/2016 13:50	08/04/2016 15:50	0.044580057	0.001300089	0.000937227	0.054460991	0.403082702
08/04/2016 13:55	08/04/2016 15:55	0.036132765	0.000356284	0.002384852	0.063106559	0.398078667
08/04/2016 14:00	08/04/2016 16:00	0.054251002	0.000863355	0	0.092089538	0.413337904
08/04/2016 14:05	08/04/2016 16:05	0.052101252	0.000353441	0.039474455	0	0.355702214
08/04/2016 14:15	08/04/2016 16:15	0.028680137	0.001948303	0	0.070413336	0.34025013
08/04/2016 14:20	08/04/2016 16:20	0.054320855	0.001914161	0.040460548	0.004896169	0.393293192
08/04/2016 14:30	08/04/2016 16:30	0.028292871	0.001323018	0	0.087809752	0.298749348
08/04/2016 14:35	08/04/2016 16:35	0.033915733	0.012066011	0.017194997	0	0.458717063
08/04/2016 14:40	08/04/2016 16:40	0.0360072	0	0	0	0.442193604
