PMF_Time_Start	PMF_Time_Stop	HOA	BBOA	LO-OOA	MO-OOA
01/01/2016 1:00	01/01/2016 2:00	0.24938487	0.89658993	0.6593408	0.61695415
01/01/2016 2:00	01/01/2016 3:00	0.27683318	0.80424666	0.61425596	0.42636967
01/01/2016 3:00	01/01/2016 4:00	0.39341116	0.33437142	0.64022923	0.9543007
01/01/2016 4:00	01/01/2016 5:00	0.14057566	1.0656008	0.56017429	0.56771457
01/01/2016 5:00	01/01/2016 6:00	0.27658886	0.78314811	1.0310143	0.87279767
01/01/2016 6:00	01/01/2016 7:00	0.51236641	0.83812237	0.16490909	0.50401628
01/01/2016 7:00	01/01/2016 8:00	0.34888706	0.59782845	0.72547787	1.0363411
01/01/2016 8:00	01/01/2016 9:00	0.23341721	0.57223994	1.0650293	1.1839938
01/01/2016 9:00	01/01/2016 10:00	0.27294195	0.35101241	0.69480133	0.77041125
01/01/2016 10:00	01/01/2016 11:00	0.19071308	0.33354026	0.20187737	0.76549804
01/01/2016 11:00	01/01/2016 12:00	0.035175078	0.26635882	0.68939322	0.35280386
01/01/2016 12:00	01/01/2016 13:00	0.2289694	0.048626181	0.12682262	0.43679497
01/01/2016 13:00	01/01/2016 14:00	0.13185552	0.19092931	0.14011066	0.38397262
01/01/2016 14:00	01/01/2016 15:00	0.13927999	0.15931544	0.44279274	0.21660471
01/01/2016 15:00	01/01/2016 16:00	0.054381799	0.35491785	0.58799589	0.16265506
01/01/2016 16:00	01/01/2016 17:00	0.44172034	0.26002553	0.42892641	1.0774626
01/01/2016 17:00	01/01/2016 18:00	0.30710199	0.50319237	0.51485437	1.2036436
01/01/2016 18:00	01/01/2016 19:00	0.079109363	0.60200572	0.50479066	0.50629586
01/01/2016 19:00	01/01/2016 20:00	0.07713189	0.45749807	0.49653289	0.65498203
01/01/2016 20:00	01/01/2016 21:00	0.22172877	0.46139634	0.17810917	0.42379385
01/01/2016 21:00	01/01/2016 22:00	0.14408253	0.33262542	0.39956257	0.42859545
01/01/2016 22:00	01/01/2016 23:00	0.015921421	0.52995604	0.39682415	0.49499711
01/01/2016 23:00	02/01/2016 0:00	0.039526928	0.4557724	0.43768987	0
02/01/2016 0:00	02/01/2016 1:00	0.12181246	0.30835456	0.31265593	0.42042932
02/01/2016 1:00	02/01/2016 2:00	0.10105114	0.43725646	0.20403217	0.21853234
02/01/2016 2:00	02/01/2016 3:00	0.14986898	0.063795716	0.067553103	0.48293465
02/01/2016 3:00	02/01/2016 4:00	0.11905154	0.20536524	0.27077788	0.26243454
02/01/2016 4:00	02/01/2016 5:00	0.048704363	0.25219887	0.26437062	0.61992604
02/01/2016 5:00	02/01/2016 6:00	0.083987966	0.058620397	0.46816909	0.37381935
02/01/2016 6:00	02/01/2016 7:00	0.091198005	0.36501232	0.25242156	0.22851217
02/01/2016 7:00	02/01/2016 8:00	0.32214263	0.045953941	0.16760446	0.44638208
02/01/2016 8:00	02/01/2016 9:00	0	0.17208219	0.51540405	0.34228534
02/01/2016 9:00	02/01/2016 10:00	0.062488023	0.43692893	0.092548966	0.14648484
02/01/2016 10:00	02/01/2016 11:00	0.038009416	0.35420024	0.4075751	0.58551127
02/01/2016 11:00	02/01/2016 12:00	0.089592479	0.58212405	0.24547054	0.096748084
02/01/2016 12:00	02/01/2016 13:00	0.020967664	0.097968355	0.42373267	0.40880924
02/01/2016 13:00	02/01/2016 14:00	0.1683768	0.18589653	0.21981098	0.2310739
02/01/2016 14:00	02/01/2016 15:00	0	0.17454673	0.27882046	0.30428198
02/01/2016 15:00	02/01/2016 16:00	0.14393981	0.21757954	0.29870743	0.38416755
02/01/2016 16:00	02/01/2016 17:00	0.14574802	0.36200887	0.26194003	0.6500386
02/01/2016 17:00	02/01/2016 18:00	0.10462284	0.84142584	0.30113882	0.44276842
02/01/2016 18:00	02/01/2016 19:00	0.13096873	0.5548948	0.25906917	0.17446981
02/01/2016 19:00	02/01/2016 20:00	0.12556228	0.37875649	0.40065631	0.2395599
02/01/2016 20:00	02/01/2016 21:00	0.061371092	0.45328999	0.41635546	0.46614784
02/01/2016 21:00	02/01/2016 22:00	0.11270354	0.19758089	0.22782664	0.40402204
02/01/2016 22:00	02/01/2016 23:00	0.032617629	0.34628254	0.2748819	0.16873477
02/01/2016 23:00	03/01/2016 0:00	0.22706544	0.088118695	0.14903992	0.24132754
03/01/2016 0:00	03/01/2016 1:00	0.060015935	0.082608812	0.26514018	0.45209196
03/01/2016 1:00	03/01/2016 2:00	0.13275714	0.086773649	0.090782404	0.45757228
03/01/2016 2:00	03/01/2016 3:00	0.15377335	0.12602858	0.1793222	0.17239766
03/01/2016 3:00	03/01/2016 4:00	0.039249584	0.06012436	0.35358441	0.33151579
03/01/2016 4:00	03/01/2016 5:00	0.074440844	2.98E-06	0.10699856	0.35463408
03/01/2016 5:00	03/01/2016 6:00	0.070042834	0.062134903	0.29970592	0.36148915
03/01/2016 6:00	03/01/2016 7:00	0.06110039	0.10410504	0.22000939	0.1695798
03/01/2016 7:00	03/01/2016 8:00	0.024470897	0.072625995	0.24201331	0.31862867
03/01/2016 8:00	03/01/2016 9:00	0.098314643	0.059722159	0.3554844	0.32831544
03/01/2016 9:00	03/01/2016 10:00	0.10105731	0.043100338	0.20728776	0.44546908
03/01/2016 10:00	03/01/2016 11:00	0.048962999	0.07603354	0.35125324	0.45081758
03/01/2016 11:00	03/01/2016 12:00	0.004511117	0.12219598	0.33953506	0.33993933
03/01/2016 12:00	03/01/2016 13:00	0.02870404	0.1037325	0.35946885	0.58419961
03/01/2016 13:00	03/01/2016 14:00	0.071625918	0.14911696	0.2538192	0.41723549
03/01/2016 14:00	03/01/2016 15:00	0.00460683	0.28358421	0.29813233	0.23822016
03/01/2016 15:00	03/01/2016 16:00	0.004465702	0.164837	0.36906859	0.32258016
03/01/2016 16:00	03/01/2016 17:00	0.08800602	0.18520494	0.43055078	0.50033396
03/01/2016 17:00	03/01/2016 18:00	0.14871345	0.07971634	0.53196067	0.82797086
03/01/2016 18:00	03/01/2016 19:00	0.006232812	0.27914631	0.66062409	0.7473439
03/01/2016 19:00	03/01/2016 20:00	0.10357501	0.24354719	0.33146173	0.34120616
03/01/2016 20:00	03/01/2016 21:00	0.078967832	0.16515775	0.40889192	0.37144738
03/01/2016 21:00	03/01/2016 22:00	0.17559074	0.089659348	0.26366997	0.46441472
03/01/2016 22:00	03/01/2016 23:00	0.12738881	0.20090285	0.34524202	0.58208442
03/01/2016 23:00	04/01/2016 0:00	0.11882918	0.1397496	0.29173097	0.58669883
04/01/2016 0:00	04/01/2016 1:00	0.14327113	0.12795366	0.35602081	0.62975997
04/01/2016 1:00	04/01/2016 2:00	0.053220231	0.35224307	0.35172111	0.34041223
04/01/2016 2:00	04/01/2016 3:00	0.10629439	0.26061249	0.13758032	0.44996142
04/01/2016 3:00	04/01/2016 4:00	5.07E-05	0.4095141	0.23792228	0.2053694
04/01/2016 4:00	04/01/2016 5:00	0.17242514	0.15372962	0.42815301	0.59221375
04/01/2016 5:00	04/01/2016 6:00	0.1118883	0.38178074	0.25863662	0.34418046
04/01/2016 6:00	04/01/2016 7:00	0.007017306	0.50575608	0.40335235	0.55720454
04/01/2016 7:00	04/01/2016 8:00	0.10363386	0.36960381	0.37505358	0.71143383
04/01/2016 8:00	04/01/2016 9:00	0.20543876	0.35752517	0.1656018	0.34971353
04/01/2016 9:00	04/01/2016 10:00	0.067224875	0.4762938	0.36441049	0.51208419
04/01/2016 10:00	04/01/2016 11:00	0.12001111	0.45121306	0.54045165	0.90655613
04/01/2016 11:00	04/01/2016 12:00	0.037954155	0.87633842	0.72957444	0.78624505
04/01/2016 12:00	04/01/2016 13:00	0.28820047	0.23468831	0.60335648	0.97042876
04/01/2016 13:00	04/01/2016 14:00	0.2124401	0.54390806	0.65470779	0.78378475
04/01/2016 14:00	04/01/2016 15:00	0.25029925	0.51406276	0.88696611	1.262643
04/01/2016 15:00	04/01/2016 16:00	0.25474295	0.31336871	0.6898917	1.784104
04/01/2016 16:00	04/01/2016 17:00	0.12510498	0.85803092	0.80728716	1.0208199
04/01/2016 17:00	04/01/2016 18:00	0.12646593	0.53070742	1.0778822	1.3156935
04/01/2016 18:00	04/01/2016 19:00	0.25212321	0.48437461	0.81207335	1.2342706
04/01/2016 19:00	04/01/2016 20:00	0.11323812	0.94728321	0.66622001	1.133226
04/01/2016 20:00	04/01/2016 21:00	0.10085906	0.61617249	1.1842402	1.4348866
04/01/2016 21:00	04/01/2016 22:00	0.25778961	0.6818642	1.3093582	1.5784839
04/01/2016 22:00	04/01/2016 23:00	0.15647815	0.52890432	1.2830244	1.3326058
04/01/2016 23:00	05/01/2016 0:00	0.1423721	0.48590738	0.93660146	1.1250875
05/01/2016 0:00	05/01/2016 1:00	0.1183155	0.53582078	0.84016258	0.99803501
05/01/2016 1:00	05/01/2016 2:00	0.26027194	0.52138776	1.0252848	1.168499
05/01/2016 2:00	05/01/2016 3:00	0.23316088	0.52780348	0.55528343	0.67315769
05/01/2016 3:00	05/01/2016 4:00	0.14084518	0.24478531	0.78204733	1.2420343
05/01/2016 4:00	05/01/2016 5:00	0.074767388	0.38864619	0.76776612	1.0765008
05/01/2016 5:00	05/01/2016 6:00	0.065079138	0.57171518	0.40767652	0.84538728
05/01/2016 6:00	05/01/2016 7:00	0.16841152	0.47194758	0.51421463	0.66546571
05/01/2016 7:00	05/01/2016 8:00	0.11543152	0.66217452	0.46843076	0.77554387
05/01/2016 8:00	05/01/2016 9:00	0.25677595	0.61923581	0.5659532	0.84909666
05/01/2016 9:00	05/01/2016 10:00	0.2711578	0.36206847	0.60077554	1.1740786
05/01/2016 10:00	05/01/2016 11:00	0.10160577	0.75497401	0.91654283	1.3032976
05/01/2016 11:00	05/01/2016 12:00	0.19367971	0.27944314	1.1633856	1.6459373
