PMF_m/z	OOAa	OOAb	OOAc
77.0347	6.27965E-05	4.05709E-05	8.44648E-05
77.0391	0.0064945	0.00666261	0.00319972
77.9775	9.84218E-05	0.000183341	0.000233354
78.0061	1.21828E-09	9.84174E-06	4.87842E-09
78.0106	4.65163E-11	4.76799E-05	5.74017E-06
78.0425	0.000421438	0.000432593	2.08E-04
78.047	2.19E-03	0.00229219	2.06E-03
78.9854	0.000327196	0.000634082	0.000937232
79.0184	1.38154E-11	0.000377492	0.000241082
79.0503	0.000141934	0.000148919	1.34E-04
79.0548	7.32E-03	0.00724978	0.00228964
80.0217	1.26718E-09	2.39966E-05	1.82E-05
80.0262	0.000800573	0.000284867	1.73E-03
80.0581	0.000474974	0.000470784	0.000148335
80.0626	1.39E-03	0.00144695	0.000715294
81.0296	4.3148E-05	1.60428E-05	9.59E-05
81.034	2.85E-03	0.00354473	2.07E-03
81.066	9.01184E-05	9.39002E-05	4.74958E-05
81.0704	0.003603737	0.00298106	1.74742E-09
82.0374	0.000153847	0.000191891	0.000113367
82.0419	0.002726363	0.00379684	0.00228772
82.0738	0.000233634	0.000193464	2.62936E-09
83.0133	0.00043928	0.00106653	0.000971934
83.0452	0.000147373	0.000205487	0.000125377
83.0497	0.00326532	0.0042162	0.00133665
84.0211	0.001092695	0.00188543	0.00134585
84.053	0.000176342	0.000228259	7.19116E-05
84.0575	0.001395126	0.0013811	0.000806475
84.0939	0.000160147	2.21688E-05	0.000139287
85.029	0.002744443	0.00442283	0.00256679
85.0609	7.52879E-05	7.51797E-05	4.37619E-05
85.0973	1.01687E-05	1.42523E-06	9.48202E-06
85.1017	6.07115E-05	6.90009E-05	0.000156873
86.0156	5.41842E-05	0.000390115	0.000183652
86.0368	0.001094561	0.00149973	0.000911906
86.0732	0.000355111	0.000128369	8.88147E-05
87.019	4.54116E-06	2.99846E-05	0.000015537
87.0235	0.001526615	0.00249745	0.0018748
87.0765	1.95373E-05	7.63652E-06	4.8971E-06
87.9797	6.7483E-07	1.89094E-07	6.67178E-06
88.0268	0.00011566	0.000189554	0.000141949
88.0313	0.000105634	0.000228778	0.000208848
88.0888	8.24803E-06	1.21942E-08	2.24902E-05
89.0027	2.817E-05	5.35386E-06	8.52895E-05
89.0239	6.34887E-05	0.00103439	2.40884E-10
89.0922	6.69798E-07	1.00588E-07	1.70839E-06
90.0061	2.18127E-06	1.12009E-06	7.51977E-06
90.047	0.000525683	0.000570366	0.000516643
91.0503	4.01306E-05	4.30334E-05	3.98544E-05
91.0548	0.006170373	0.00614775	0.00221324
92.0262	0.000104765	0.000382681	0.000314074
92.0581	0.000467055	0.000465415	0.000168102
92.0626	0.000860571	0.000765853	0.000553089
93.0296	7.23528E-06	2.47899E-05	2.30904E-05
93.034	0.000222354	0.000635367	0.000357262
93.0704	0.002335596	0.00201067	0.00017805
93.9377	3.36901E-05	3.14026E-05	0.000182296
94.0374	1.47279E-05	4.18207E-05	2.31819E-05
94.0419	0.001161982	0.00168283	0.00109203
94.0738	0.000177571	0.000152181	1.14868E-05
94.0782	0.000674081	0.000397875	0.000366251
94.9455	9.72754E-05	0.000111214	0.000561541
95.0133	0.000124392	0.000435627	0.000409723
95.0452	7.53469E-05	0.000109177	7.13728E-05
95.0497	0.00296427	0.00389581	0.000813483
95.0816	5.05817E-05	3.09808E-05	2.87872E-05
95.0861	0.001571416	0.000870168	8.24188E-05
96	5.95177E-05	0.000228429	0.00035763
96.0211	0.000648088	0.00093834	0.000835687
96.053	0.000191717	0.000251716	5.63613E-05
96.0575	0.001281206	0.00156886	0.000874047
96.0894	0.000117799	6.64729E-05	5.28806E-06
97.0034	4.95355E-06	1.97645E-05	3.15529E-05
97.029	0.00127429	0.00280922	0.000894148
97.0609	8.26879E-05	0.000102085	5.90362E-05
97.0653	0.001634416	0.00145818	0.000494051
98.0156	0.000366228	2.4928E-11	0.0010671
98.0687	0.000105789	9.51529E-05	3.18222E-05
98.0732	0.000637924	0.000245891	0.000503198
98.1096	2.17128E-05	1.16657E-05	4.13411E-05
98.9404	3.17978E-05	3.13084E-05	0.00018626
98.9905	0.000150355	0.000342004	0.000319805
99.019	2.9209E-05	1.45007E-11	0.00014093
99.0446	0.002191441	0.00269627	0.0010087
99.0765	4.07597E-05	1.66256E-05	3.38821E-05
99.1129	1.7259E-06	7.74479E-07	3.72759E-06
99.1174	1.26401E-05	5.51878E-06	3.11532E-05
100.031	0.000628611	0.00111338	0.00089758
100.121	9.43314E-07	5.31493E-07	2.80672E-06
100.125	2.01368E-07	1.83236E-07	6.9801E-06
101.024	0.000650183	0.00187647	0.000663682
101.035	5.44492E-05	9.67145E-05	7.83792E-05
101.039	0.000497618	8.10727E-05	0.000471343
101.06	0.00039031	0.000402094	0.000259946
101.097	1.82588E-05	3.34472E-11	3.27289E-05
101.129	7.33046E-08	9.46757E-08	6.24402E-07
102.011	3.48558E-05	0.000274827	7.09093E-05
102.043	4.31575E-05	1.17578E-05	5.18023E-05
102.047	0.00069193	0.000827772	0.000808207
102.1	1.73271E-06	2.99587E-09	3.04174E-06
103.014	3.0688E-06	2.12854E-05	6.11918E-06
103.05	5.9825E-05	7.16623E-05	7.04103E-05
103.055	0.001123551	0.00107727	0.000717779
104.058	9.71876E-05	9.31657E-05	6.23179E-05
104.063	0.00045518	0.000418766	0.000408623
105.066	3.93661E-05	3.61733E-05	3.55432E-05
105.07	0.00189093	0.0015183	0.00022681
106.042	0.000267812	0.000491715	0.000373722
106.074	0.000163662	0.000131494	0.000019878
106.078	0.000443719	0.000325968	0.000268882
107.045	2.04041E-05	3.72602E-05	2.83121E-05
107.082	3.85173E-05	2.83235E-05	2.33145E-05
107.086	0.001031789	0.000648052	0.000105317
108.021	7.78478E-05	0.000340948	0.000146972
108.058	0.000821058	0.00114043	0.000624514
108.089	8.94452E-05	5.61729E-05	9.83272E-06
108.094	0.000359375	9.65418E-05	0.000130202
109.029	0.000284579	0.000762412	0.000461802
109.061	6.22211E-05	8.63395E-05	4.74427E-05
109.065	0.001257363	0.00145813	0.000381971
109.097	3.08631E-05	9.17806E-06	1.19957E-05
109.967	7.23953E-07	2.4714E-06	5.58823E-06
110.037	0.000617555	0.00118401	0.000748393
110.069	9.50547E-05	0.000110678	2.94243E-05
110.073	0.000619014	0.000431759	0.000250813
110.991	2.61934E-05	9.77596E-05	8.74755E-05
111.023	1.21312E-11	0.000183771	2.86454E-10
111.045	0.001221794	0.00212421	0.000969402
111.076	4.6821E-05	3.31935E-05	2.01796E-05
111.081	0.000738743	0.000402344	0.000216506
111.998	2.97881E-05	0.000109285	7.77299E-05
112.027	3.94694E-10	2.85784E-05	3.46203E-06
112.031	6.95279E-05	0.000343981	0.000211056
112.084	5.5709E-05	3.11454E-05	1.71677E-05
112.089	0.000170292	6.36099E-05	6.98556E-05
112.125	1.53871E-05	1.16643E-05	7.37979E-05
113.024	0.000252811	0.000956257	0.000416947
113.035	7.05649E-06	3.35946E-05	2.27979E-05
113.06	0.00065278	0.000731877	0.000304314
113.092	1.29442E-05	5.40111E-06	6.6137E-06
113.129	1.35889E-06	1.08171E-06	0.000006589
113.133	1.39114E-05	1.05157E-05	6.13945E-05
114.047	0.000407103	0.000682256	0.000496149
114.136	1.25802E-06	1.00188E-06	5.67616E-06
114.141	4.05275E-07	2.25883E-07	0.000010599
115.027	2.44627E-11	0.000641217	6.95816E-11
115.05	3.97237E-05	6.63509E-05	4.89865E-05
115.055	0.002051496	0.00193351	0.00131787
115.144	7.63075E-08	1.08788E-07	1.35942E-06
116.026	1.48593E-05	1.46392E-05	2.36948E-05
116.047	2.7057E-05	0.000318461	4.77899E-05
116.084	9.56061E-05	1.5892E-11	0.000103215
117.092	0.000239578	1.18243E-11	0.000136941
117.99	2.75933E-06	1.00439E-05	2.10087E-05
118.042	0.000191899	0.000356847	0.000225036
119.05	0.000319438	0.000598979	0.000262493
120.021	1.89699E-05	4.02216E-05	1.47691E-05
120.058	0.000314119	0.000469818	0.000249161
