PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
142.099	0.000182609	9.47068E-05	0.000148723	0.000059688	2.19537E-05
142.172	3.26332E-05	1.00277E-05	1.13986E-05	2.18096E-06	5.22672E-06
142.998	1.83518E-05	3.40684E-05	2.13987E-05	5.41558E-05	2.59105E-05
143.05	2.15566E-05	0.00022837	0.000379735	0.000259111	0.000170282
143.086	0.00114134	0.000414236	0.000702855	0.000229018	0.000124815
143.107	0.000445785	0.000153524	0.000237168	8.64482E-05	2.91279E-05
144.042	2.33998E-05	9.92796E-05	0.00008053	0.000134242	7.68443E-05
144.057	1.79826E-05	0.000142023	0.000394067	1.72896E-05	0.000063555
144.079	0	9.30717E-05	0.000109982	5.95813E-05	4.56757E-05
144.094	0.000600346	0.000208712	0.000352609	0.00010024	5.03631E-05
144.151	5.94493E-05	2.33802E-05	3.36872E-05	1.83401E-05	3.14891E-06
145.029	2.31569E-05	0.00011273	0.000143879	0.000145673	0.00008663
145.065	8.31591E-05	0.000398994	0.000967527	0.000316237	0.000191242
145.102	0.00135056	0.000410421	0.000673507	0.000193383	8.39512E-05
145.123	0.000423476	0.000105506	9.90613E-05	5.30353E-05	7.69157E-06
146.037	2.38336E-05	0.000183113	0.000288443	0.000193892	0.000158094
146.073	7.68543E-05	0.00025382	0.000566596	0.000199547	0.000148608
146.109	0.000421654	0.000141912	0.000243512	6.10609E-05	3.37408E-05
146.131	6.97177E-05	2.62642E-05	1.72293E-05	2.06128E-05	8.0547E-07
147.029	5.84481E-05	0.000220231	0.000406909	0.00022209	0.000144921
147.066	8.54849E-05	0.000384084	0.000912116	0.000201335	0.000280547
147.081	0	9.24343E-05	7.30938E-05	9.69882E-05	5.43199E-05
147.117	0.0012372	0.000341562	0.000495188	0.000171433	7.58506E-05
148.003	7.16277E-06	1.99575E-05	2.47742E-05	1.52551E-05	3.00492E-06
148.016	1.08507E-05	7.93073E-05	2.03153E-05	9.70872E-05	0.000112627
148.052	5.20149E-05	0.000261386	0.000592021	0.00019961	0.000163087
148.089	2.44862E-05	0.000143695	0.000311813	0.000107585	9.37087E-05
148.125	0.000393585	0.000100139	0.000126984	5.30381E-05	1.73045E-05
149.983	4.63775E-06	1.54698E-05	2.05138E-05	1.96953E-05	0
150.032	0.000118816	0.000298753	0.000641454	0.000207959	0.000154627
150.068	5.41713E-06	0.000248564	0.000670093	0.000169609	0.00010699
150.105	0.000212044	0.000108425	0.000180339	7.51093E-05	4.87665E-05
151.04	0.000094398	0.000393285	0.00107688	0.000267778	0.000125247
151.076	0.000143343	0.000377802	0.000990353	0.00025311	0.000146729
