PMF_m/z	HOA	OOA1	OOA2
70.0055	0	0.000797835	0.001249458
70.0374	7.27216E-05	0.000270629	0.000242224
70.0419	0.00133268	0.00356555	0.002653264
70.0738	0.00175073	0.000270679	0.000267503
70.0782	0.0074265	0.00060219	0.00053528
71.0133	0.000565694	0.00390041	0.004582646
71.0452	0.000058261	0.000152528	0.000118276
71.0497	0.00282301	0.00700988	0.003728984
71.0816	0.000382377	0.000032992	2.96435E-05
71.0861	0.0208866	0	0.000626278
72.0211	0.000266857	0.00128984	0.001531954
72.053	0.000122912	0.000300575	0.000162769
72.0575	0.000573937	0.00125213	0.000758725
72.0894	0.00109451	0	3.24541E-05
72.0939	0	0	4.46939E-05
73.0078	0.00017942	0	0.000224421
73.029	0.00201284	0.00401093	0.003617238
73.0473	0	0.00032769	0.000707472
73.0609	2.51934E-05	5.25916E-05	3.48964E-05
73.0653	0.000327431	0.000394612	0.000314889
73.0973	0	0	2.67268E-06
74.0112	1.26578E-05	0	1.71097E-05
74.0156	0.000738794	0.000421747	0.000722739
74.0368	0.000291305	0.00135695	0.001051456
74.0687	1.61673E-05	1.78843E-05	1.53967E-05
74.0732	6.00368E-05	1.37685E-05	2.08881E-05
75.0082	0	6.91376E-05	0.000221572
75.019	0.000047345	2.59527E-05	4.75107E-05
75.0235	0	0.000453523	0.000554506
75.0446	0.000306659	0.000773681	0.000565504
75.0765	4.51425E-06	7.82833E-07	5.68066E-07
75.9441	0	4.86949E-05	3.00186E-05
76.016	0.00011495	0.000685525	0.001106347
76.0268	6.28993E-05	3.13427E-05	2.80611E-05
76.0313	0.000855657	0.000801026	0.000411309
77.0239	0	0	0.000741527
77.0347	6.19818E-05	0.000054823	2.548E-05
77.0391	0.00852261	0.00557332	0.00390437
77.0603	0	9.77148E-05	0.000634344
78.0106	0	0	0.000181529
78.0272	0	0	1.86545E-05
78.0425	0	0.000352964	0.00034098
78.047	0.0038412	0.00185324	0.001588375
78.9854	0.00077433	0.000241354	0.001375875
79.0139	0	0	1.26476E-05
79.0184	0.000196026	4.16906E-05	0.000558285
79.0548	0.0148432	0.00698347	0.00516367
80.0217	1.12986E-05	2.36983E-06	3.19668E-05
80.0262	0	1.15021E-05	0.000191362
80.0581	0.000911223	0.000446391	0.000349884
80.0626	0.00365351	0.00128473	0.000545802
81.0296	0	3.88111E-06	1.61226E-05
81.034	0.00138296	0.00312377	0.002905897
81.066	0.000237711	8.65808E-05	3.32287E-05
81.0704	0.0213073	0.00462734	0.003120581
82.0055	0	0.000574315	0.000741347
82.0374	6.99362E-05	0.0001645	0.000163154
82.0419	0.00111855	0.00282762	0.002777545
82.0738	0.00131786	0.000298804	0.00020868
82.0782	0.00517458	0.000967666	0.000859474
83.0133	0.000344118	0.000857586	0.001332187
83.0452	6.00538E-05	0.000153428	0.00015031
83.0497	0.00311637	0.0049625	0.003673014
83.0816	0.000339741	6.17713E-05	5.55481E-05
83.0861	0.0169575	0.000910516	0.001259113
84	0	0	3.446E-05
84.0211	0.000284224	0.00160679	0.001747132
84.053	0.000150755	0.000261428	0.000210727
84.0575	0.00246675	0.00180803	0.001330896
84.0894	0.0010239	5.57582E-05	9.01872E-05
84.0939	0.00358841	0.000127603	0.000141654
85.0034	0	0	2.93426E-06
85.0078	0	0	0.000280852
85.029	0.00043532	0.00590818	0.003992035
85.0609	0.000135131	9.69047E-05	7.5819E-05
85.0653	0.0011551	0.00225901	0.001180995
85.0973	0.000229759	6.90406E-06	7.09361E-06
