PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1	OOA2	OOA3_BB-aq
27/09/2013 13:37	27/09/2013 13:42	0.102427111	0.029515778	1.07018	1.746135556	0.722797778
27/09/2013 13:42	27/09/2013 13:46	0.080191111	0.16927	0.921837778	1.65834	0.743242222
27/09/2013 13:46	27/09/2013 13:51	0.118673556	0.101601333	1.269566667	1.675128889	0.756213333
27/09/2013 13:51	27/09/2013 13:56	0.143810889	0.170333778	1.077006667	1.704951111	0.649757778
27/09/2013 13:56	27/09/2013 14:00	0.148469778	0.173344667	1.038131111	1.622957778	0.748786667
27/09/2013 14:00	27/09/2013 14:05	0.078696	0.114683778	0.967164444	1.757186667	0.811471111
27/09/2013 14:05	27/09/2013 14:10	0.019578978	0	1.137182222	1.713466667	0.820317778
27/09/2013 14:10	27/09/2013 14:14	0.079428	0.10523	1.035982222	1.795593333	0.831271111
27/09/2013 14:14	27/09/2013 14:19	0.074114889	0.120767111	1.137537778	1.70724	0.787146667
27/09/2013 14:19	27/09/2013 14:24	0.063328222	0.142447111	0.982477778	1.836688889	0.725348889
27/09/2013 14:24	27/09/2013 14:28	0.0076758	0.081660667	0.935071111	1.802775556	0.796813333
27/09/2013 14:28	27/09/2013 14:33	0.065633333	0.063547778	0.976582222	1.868377778	0.793333333
27/09/2013 14:33	27/09/2013 14:38	0.041457111	0.040137333	0.929751111	1.944633333	0.826237778
27/09/2013 14:38	27/09/2013 14:42	0.086127111	0.015185222	0.928731111	1.972831111	0.824308889
27/09/2013 14:42	27/09/2013 14:47	0.006425844	0.010926711	0.875826667	2.003473333	0.858677778
27/09/2013 14:47	27/09/2013 14:52	0.040002	0.087576222	0.907897778	1.848186667	0.819764444
27/09/2013 14:52	27/09/2013 15:03	0	0.059168444	0.794484444	1.576035556	0.817502222
27/09/2013 15:03	27/09/2013 15:08	0	0.038183778	0.950362222	1.546437778	0.669337778
27/09/2013 15:08	27/09/2013 15:13	0.018759978	0	0.802773333	1.470737778	0.668406667
27/09/2013 15:13	27/09/2013 15:17	0.018260711	0	0.865697778	1.416611111	0.68466
27/09/2013 15:17	27/09/2013 15:22	0.033122667	0.018403222	0.791715556	1.583775556	0.674148889
27/09/2013 15:22	27/09/2013 15:27	0	0.014261267	0.707137778	1.512435556	0.662064444
27/09/2013 15:27	27/09/2013 15:31	0	0	0.714584444	1.442851111	0.750826667
27/09/2013 15:31	27/09/2013 15:36	0.024912667	0.0085424	0.686148889	1.531293333	0.610931111
27/09/2013 15:36	27/09/2013 15:41	0	0.022056733	0.656448889	1.456551111	0.770537778
27/09/2013 15:41	27/09/2013 15:45	0	0	0.693817778	1.432133333	0.6253
27/09/2013 15:45	27/09/2013 15:50	0	0.026569111	0.527011111	1.355968889	0.658228889
27/09/2013 15:50	27/09/2013 15:55	0	0.000917369	0.576571111	1.417966667	0.557382222
27/09/2013 15:55	27/09/2013 15:59	0.009838222	0.0107188	0.58384	1.331173333	0.571506667
27/09/2013 15:59	27/09/2013 16:04	0	0	0.520384444	1.401266667	0.615875556
27/09/2013 16:04	27/09/2013 16:09	0.054702222	0.012252622	0.62584	1.310224444	0.555608889
27/09/2013 16:09	27/09/2013 16:13	0.061581778	0.015141956	0.632933333	1.48268	0.6045
27/09/2013 16:13	27/09/2013 16:18	0.003985978	0.046759111	0.571826667	1.440273333	0.545562222
27/09/2013 16:18	27/09/2013 16:23	0.066380889	0.044196444	0.593015556	1.370377778	0.536426667
27/09/2013 16:23	27/09/2013 16:27	0.100173333	0.023244889	0.728304444	1.345826667	0.501282222
