PMF_m/z	HOA	BBOA	OOA1	OOA2	OOA3_BB-aq
73.0078	7.22648E-11	0	9.72E-05	0	2.81243E-05
73.029	6.35065E-10	0.011897	0.000132979	0.00352218	0.00251839
73.0402	1.25906E-05	0.00358691	0.00253115	0.00122103	0.00189012
73.0653	6.35824E-05	0.000284664	0.000663503	0.000226188	0.000422822
74.0156	0.000853298	0.00145639	0.000428345	0.00119974	0.000404963
74.0368	0.000292034	0.00256806	0.00150405	0.00174256	0.00175132
74.0732	4.45656E-05	6.56423E-05	0.000131455	0	0.000151881
75.0082	2.96E-11	2.89627E-06	0	0	0.000203494
75.0235	0.000648588	0.00208361	0.000560202	0.00127319	0.00032109
75.0446	2.81556E-11	0.000638019	0.000789193	0.000744668	0.000227015
75.9441	1.18985E-09	1.30376E-05	3.03297E-05	2.61283E-05	4.84076E-05
76.016	1.05671E-09	0	0	0.000814778	0.00039876
76.0313	0.0010618	0.00300309	0.0011807	0.00220163	0.000324848
77.0391	0.00848864	0.00913018	0.0068519	0.00617879	0.00360115
77.0603	9.88214E-12	0.00113604	0.00233824	0.000236631	0.000415837
78.0106	0	0.000313004	0	0.00E+00	0.000163847
78.047	0.00298685	0.00384827	0.00313985	0.00242567	0.00071055
79.0184	4.7487E-11	0.000808495	0	0.000148984	0.000950944
79.0548	0.0158197	0.00749841	0.0091342	0.00600951	0.00442475
80.0262	0.000231358	0.00102348	0.000872703	0.000617689	0.00093088
80.0626	0.00369199	0.00215921	0.00221522	0.00141249	0.000670602
81.034	0.000282715	0.00329968	0.00256865	0.00252829	0.00203915
81.0704	0.0258984	0.00808425	0.00646639	0.0032189	0.00466137
82.0055	9.16202E-08	0.000396576	3.27E-04	5.29E-04	0.000937675
82.0419	2.39E-04	0.00201877	0.00257687	0.00270097	0.0010529
82.0782	0.00635964	2.35E-03	2.16E-03	1.01E-03	1.02E-03
83.0133	3.33E-11	0.000791833	0.000522162	0.00121413	0.00129462
83.0497	0.000830826	0.00199954	4.96E-03	0.00338678	0.00340412
83.0861	0.0230179	0.00527436	0.00235358	0.00123352	0.00245355
84.0211	2.69461E-11	0.00132309	0.000953164	0.00183919	0.000983465
84.0575	1.17846E-10	0.00247393	0.00290694	0.00156198	0.000544187
85.029	1.34026E-10	0.00346137	0.00330428	0.00512554	0.00231896
85.0653	0.000478047	0.000848011	0.00213892	0.00127499	0.00154136
85.1017	0.015586	0.00189101	0.000206553	0.000606437	0.000945231
86.0156	0.000250514	0.000510351	7.99581E-05	0.000263532	0.000154908
86.0368	7.39687E-11	0.000966256	0.00124216	0.00160505	0.000737879
86.0732	0.000189649	0.000236832	0.000419532	0.000179092	0.000546843
87.0082	3.84591E-11	0.000250917	0.000560442	0.00134344	0.000132339
87.0446	0.000283903	0.00213898	1.58E-03	0.00186007	0.0011026
87.081	4.35229E-05	0.000195232	0.000270811	0	0.000375278
88.016	0	1.12677E-06	3.49909E-05	0.000213248	0.000204967
88.0313	0.000167206	0.00103848	0.000153463	0.000382097	0
88.0524	0.000111913	0.000358087	0.000371306	0.000395318	0.000287838
88.0888	0.000102425	4.00694E-05	0	0	8.85271E-05
89.0027	2.77991E-05	0.000138954	0.00E+00	0.00E+00	7.59E-06
89.0391	8.64E-04	0.00302614	1.25E-03	1.72E-03	2.69E-04
89.0603	8.09812E-12	0.000421282	0.000437259	0	7.70029E-05
90.0317	2.01404E-09	0	0	0.000113009	5.43155E-05
90.047	0.000277961	0.00109275	7.27E-04	7.13E-04	0.000246518
91.0548	1.32E-02	0.0094008	0.00791008	0.00534039	0.00336684
92.0262	9.06853E-12	0.000803582	7.06E-05	0.000421819	0.000364605
92.0626	0.0023765	0.00130628	1.40E-03	0.000907372	0.000377864
93.034	8.82273E-12	0.000939254	0	0.000385315	4.87E-04
93.0704	9.58E-03	0.00421836	0.00380359	0.00215936	0.00231916
94.0419	1.09886E-10	0.00223351	1.20E-03	0.00124001	0.000441563
94.0782	2.25E-03	0.00113322	1.19E-03	0.000607696	0.00045401
