PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	COA	BBOA	OOA1	OOA2	OOA3
13/05/2014 17:35	13/05/2014 19:35	0.066162145	0	0.000170106	0.382228628	0	0.231629191
13/05/2014 17:40	13/05/2014 19:40	0.0932201	0	0	0.4151148	0	0.18050122
13/05/2014 17:44	13/05/2014 19:44	0.08449918	0	0	0.4353795	0	0.15386199
13/05/2014 17:49	13/05/2014 19:49	0.098425	0	0	0.3202021	0	0.21824744
13/05/2014 17:54	13/05/2014 19:54	0.08858684	0	3.19867E-05	0.349897	0	0.10563684
13/05/2014 17:58	13/05/2014 19:58	0.18310863	0	0	0.19154187	0	0.20776324
13/05/2014 18:03	13/05/2014 20:03	0.1116	0	0	0.26776219	0	0.12526077
13/05/2014 18:08	13/05/2014 20:08	0.220835882	0	0	0.183781587	0	0.165751382
13/05/2014 18:12	13/05/2014 20:12	0.051458295	0	0	0.161091663	0	0.116435418
13/05/2014 18:17	13/05/2014 20:17	0.067898341	0	0	0.210281129	0.015441879	0.122105485
13/05/2014 18:22	13/05/2014 20:22	0.110760948	0	0.000313503	0.297878115	0	0.107366446
13/05/2014 18:26	13/05/2014 20:26	0.139169657	0	0	0.214894722	0	0.178728453
13/05/2014 18:31	13/05/2014 20:31	0.20521783	0	0.00068151	0.4021599	0	0.11232819
13/05/2014 18:36	13/05/2014 20:36	0.162326778	0	0.004447961	0.320499559	0	0.121397531
13/05/2014 18:40	13/05/2014 20:40	0.158101352	0.038270902	0.00185889	0.278140657	0	0.198957388
13/05/2014 18:45	13/05/2014 20:45	0.16254802	0.106030047	0.001539513	0.341549923	0	0.147420184
13/05/2014 18:50	13/05/2014 20:50	0.24712828	0	0.001894193	0.4887894	0	0.2243005
13/05/2014 18:54	13/05/2014 20:54	0.29936018	0.07178422	0.002862258	0.3938457	0	0.325035
13/05/2014 18:59	13/05/2014 20:59	0.25338563	0.13912521	0.006307787	0.4741295	0	0.23274955
13/05/2014 19:04	13/05/2014 21:04	0.260918711	0.004422929	0.006751938	0.544921197	0	0.219040299
13/05/2014 19:08	13/05/2014 21:08	0.151380663	0.107793949	0.00285344	0.312247137	0	0.336603836
13/05/2014 19:13	13/05/2014 21:13	0.189534695	0	0	0.412669063	0	0.181313257
13/05/2014 19:18	13/05/2014 21:18	0.163516318	0	0	0.444981815	0	0.212714726
13/05/2014 19:22	13/05/2014 21:22	0.19332902	0.05845887	0.001369013	0.5293684	0	0.23201702
13/05/2014 19:27	13/05/2014 21:27	0.1636893	0.08073764	0.003158776	0.5716741	0	0.30339204
13/05/2014 19:32	13/05/2014 21:32	0.21156601	0	0	0.8083312	0	0.16791925
13/05/2014 19:36	13/05/2014 21:36	0.25423534	0	0.004104183	0.8519389	0	0.23228393
13/05/2014 19:41	13/05/2014 21:41	0.3165627	0.07602006	0.001808469	0.8142243	0	0.3322704
13/05/2014 19:46	13/05/2014 21:46	0.28969345	0	0.012725872	0.9521588	0	0.22752326
13/05/2014 19:50	13/05/2014 21:50	0.22422393	0.230981	0.01656144	0.757113	0	0.3362415
13/05/2014 19:55	13/05/2014 21:55	0.249616132	0.022278868	0.032469815	0.846005975	0	0.235557189
13/05/2014 20:00	13/05/2014 22:00	0.197646782	0.277881851	0.002120175	0.721960381	0	0.207255219
13/05/2014 20:04	13/05/2014 22:04	0.18918432	0.4593208	0.00193059	0.617551	0	0.3493948
13/05/2014 20:09	13/05/2014 22:09	0.23351649	0.30200231	0.010401554	0.8287509	0	0.23020166
