PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	COA	BBOA	OOA1	OOA2
03/02/2014 14:35	03/02/2014 14:40	0.865834	0.00340014	0.0176394	0.935947	0
03/02/2014 14:40	03/02/2014 14:45	0.873507	0	0.0221499	1.06322	0
03/02/2014 14:45	03/02/2014 14:49	0.831318	0	0	1.2342	0
03/02/2014 14:49	03/02/2014 14:54	0.806983	0.0470919	0	1.22142	0
03/02/2014 14:54	03/02/2014 14:59	0.725849	0.0820433	0	1.47978	0
03/02/2014 14:59	03/02/2014 15:03	0.961582	0.0304032	0	1.23066	0
03/02/2014 15:03	03/02/2014 15:08	0.708591	0.0460531	0	1.30993	0
03/02/2014 15:08	03/02/2014 15:13	0.973156	0.106432	0	1.19077	0
03/02/2014 15:13	03/02/2014 15:17	0.956757	0.0338596	0	1.29974	0
03/02/2014 15:17	03/02/2014 15:22	1.01468	0.0946475	0	1.24587	0
03/02/2014 15:22	03/02/2014 15:27	0.716328	0.0727153	0	1.17866	0
03/02/2014 15:27	03/02/2014 15:31	0.687763	0.143197	0	1.23577	0
03/02/2014 15:31	03/02/2014 15:36	0.59081	0.0636429	0.000858621	1.47162	0
03/02/2014 15:36	03/02/2014 15:41	0.621107	0.0631315	0	1.48442	0
03/02/2014 15:41	03/02/2014 15:45	0.757258	0.0441676	0	1.37888	0
03/02/2014 15:45	03/02/2014 15:50	0.838923	0.168094	0	1.19826	0
03/02/2014 15:50	03/02/2014 15:55	0.843883	0.0527326	0	1.43132	0
03/02/2014 15:55	03/02/2014 15:59	0.707733	0.164107	0	1.22072	0
03/02/2014 15:59	03/02/2014 16:04	1.11102	0.0999966	0	1.31635	0
03/02/2014 16:04	03/02/2014 16:09	1.1433	0	0.0189247	1.27925	0
03/02/2014 16:09	03/02/2014 16:13	0.985914	0	0.0201291	1.30955	0
03/02/2014 16:13	03/02/2014 16:18	1.02654	0.0618214	0	1.17483	0
03/02/2014 16:18	03/02/2014 16:23	0.714909	0.0466438	0	1.13584	0
03/02/2014 16:23	03/02/2014 16:27	0.670122	0	0.0129592	1.1926	0.0370475
03/02/2014 16:27	03/02/2014 16:32	0.43959	0.0175157	0	1.27294	0
03/02/2014 16:32	03/02/2014 16:37	0.731384	0	0.0321938	1.20528	0
03/02/2014 16:37	03/02/2014 16:41	0.455389	0.00320937	0.00459447	1.30776	0
03/02/2014 16:41	03/02/2014 16:46	0.617296	0	0	1.28189	0.0104389
03/02/2014 16:46	03/02/2014 16:51	0.511406	0.0136819	0	1.32329	0
03/02/2014 16:51	03/02/2014 16:55	0.664061	0.0156107	0.0019451	1.40767	0
03/02/2014 16:55	03/02/2014 17:00	0.734733	0.0361069	0	1.40984	0
03/02/2014 17:00	03/02/2014 17:05	0.822778	0.0143785	0.0154419	1.49972	0
03/02/2014 17:05	03/02/2014 17:09	0.684417	0.129098	0.00808118	1.60013	0
03/02/2014 17:09	03/02/2014 17:14	0.8568	0.0534021	0	1.54829	0
03/02/2014 17:14	03/02/2014 17:19	0.788601	0.0216225	0.00225129	1.52161	0
03/02/2014 17:19	03/02/2014 17:23	0.870611	0	0.0371303	1.47627	0
03/02/2014 17:23	03/02/2014 17:28	0.770317	0.0549469	0.0259843	1.43533	0
03/02/2014 17:28	03/02/2014 17:33	0.517354	0.0890661	0	1.47199	0
03/02/2014 17:33	03/02/2014 17:37	0.63121	0.0751589	0	1.659	0
03/02/2014 17:37	03/02/2014 17:42	0.644059	0.0305812	0	1.66607	0
03/02/2014 17:42	03/02/2014 17:47	0.605369	0.022384	0.019816	1.84436	0
03/02/2014 17:47	03/02/2014 17:51	0.483507	0.068488	0	1.75343	0
03/02/2014 17:51	03/02/2014 17:56	0.496231	0.0564139	0	1.86659	0
03/02/2014 17:56	03/02/2014 18:01	0.619675	0.0468629	0	1.9245	0
03/02/2014 18:01	03/02/2014 18:05	0.292948	0.0973745	0	1.82049	0
03/02/2014 18:05	03/02/2014 18:10	0.253511	0.115697	0.0231112	2.0827	0
03/02/2014 18:10	03/02/2014 18:15	0.338695	0.127746	0.071648	2.01005	0
03/02/2014 18:15	03/02/2014 18:19	0.441683	0.0351366	0.21845	2.39236	0
03/02/2014 18:19	03/02/2014 18:24	0.950165	0.090921	0.12405	2.33531	0
03/02/2014 18:24	03/02/2014 18:29	0.602829	0.0439861	0	2.28242	0
03/02/2014 18:29	03/02/2014 18:33	0.63958	0.126779	0	2.30161	0
03/02/2014 18:33	03/02/2014 18:38	0.863255	0.07944	0	2.19147	0
03/02/2014 18:38	03/02/2014 18:43	0.690526	0.0860546	0.019423	2.20549	0
03/02/2014 18:43	03/02/2014 18:47	0.850978	0.114858	0	2.20793	0
03/02/2014 18:47	03/02/2014 18:52	1.00008	0.0688001	0	2.40463	0
03/02/2014 18:52	03/02/2014 18:57	0.710514	0.108732	0	2.20345	0
03/02/2014 18:57	03/02/2014 19:01	0.6066	0.144391	0	2.26408	0
03/02/2014 19:01	03/02/2014 19:06	0.725816	0.11805	0	2.31018	0
03/02/2014 19:06	03/02/2014 19:11	0.41773	0.134772	0.117031	2.17481	0.108558
03/02/2014 19:11	03/02/2014 19:15	0.56984	0.15006	0.184686	2.31024	0.0203737
03/02/2014 19:15	03/02/2014 19:20	0.491052	0.106101	0	2.37722	0
03/02/2014 19:20	03/02/2014 19:25	0.478116	0.210861	0	2.42767	0.00943596
03/02/2014 19:25	03/02/2014 19:29	0.404535	0.155432	0.0577022	2.40164	0
03/02/2014 19:29	03/02/2014 19:34	0.36139	0.181367	0	2.47664	0
03/02/2014 19:34	03/02/2014 19:39	0.413839	0.0922321	0	2.293	0
03/02/2014 19:39	03/02/2014 19:43	0.586123	0.0460916	0	2.40271	0
03/02/2014 19:43	03/02/2014 19:48	0.309915	0.139287	0.00648067	2.19659	0
03/02/2014 19:48	03/02/2014 19:53	0.383557	0.0392484	0	2.49768	0
03/02/2014 19:53	03/02/2014 19:57	0.37991	0.175883	0.012911	2.52042	0
03/02/2014 19:57	03/02/2014 20:02	0.545018	0.0709986	0	2.60255	0
03/02/2014 20:02	03/02/2014 20:07	0.321447	0.2054	0.0537426	2.38795	0.0237468
03/02/2014 20:07	03/02/2014 20:11	0.222883	0.180395	0.0356502	2.31607	0
03/02/2014 20:11	03/02/2014 20:16	0.304369	0.122529	0	2.60968	0
03/02/2014 20:16	03/02/2014 20:21	0.297966	0.172737	0	2.60653	0
03/02/2014 20:21	03/02/2014 20:25	0.326393	0.24636	0	2.59824	0
03/02/2014 20:25	03/02/2014 20:30	0.286971	0.19529	0	2.75045	0
03/02/2014 20:30	03/02/2014 20:35	0.421955	0.134017	0	2.94826	0
03/02/2014 20:35	03/02/2014 20:39	0.598246	0.222389	0	2.71414	0
03/02/2014 20:39	03/02/2014 20:44	0.367136	0.265636	0	2.7707	0
03/02/2014 20:44	03/02/2014 20:49	0.332659	0.192	0	3.01603	0
03/02/2014 20:49	03/02/2014 20:53	0.270111	0.144976	0.188962	2.71259	0
03/02/2014 20:53	03/02/2014 20:58	0.328899	0.0871772	0	3.22562	0
03/02/2014 20:58	03/02/2014 21:03	0.398048	0.204062	0	3.21022	0
03/02/2014 21:03	03/02/2014 21:07	0.273599	0.109286	0	3.23344	0
03/02/2014 21:07	03/02/2014 21:12	0.283474	0.155245	0.210277	3.04814	0
03/02/2014 21:12	03/02/2014 21:17	0.339936	0.178483	0.0801385	3.07668	0.000715245
03/02/2014 21:17	03/02/2014 21:21	0.328884	0.224342	0.151469	3.05606	0
03/02/2014 21:21	03/02/2014 21:26	0.326919	0.218987	0	3.29379	0
03/02/2014 21:26	03/02/2014 21:31	0.456577	0.227789	0.0178356	3.27305	0
03/02/2014 21:31	03/02/2014 21:35	0.3608	0.216382	0	3.09794	0
03/02/2014 21:35	03/02/2014 21:40	0.481712	0.0941327	0.117422	2.87073	0
03/02/2014 21:40	03/02/2014 21:45	0.469977	0.0610674	0	2.96834	0
03/02/2014 21:45	03/02/2014 21:49	0.459114	0.13281	0	2.93192	0
03/02/2014 21:49	03/02/2014 21:54	0.37624	0.0362762	0	3.02798	0
03/02/2014 21:54	03/02/2014 21:59	0.446924	0.0926144	0	2.86481	0
03/02/2014 21:59	03/02/2014 22:03	0.419247	0.0954576	0.106388	2.97369	0
03/02/2014 22:03	03/02/2014 22:08	0.47378	0.074036	0.0595925	3.14099	0
03/02/2014 22:08	03/02/2014 22:13	0.462808	0.0791355	0.162313	3.27236	0
03/02/2014 22:13	03/02/2014 22:17	0.537609	0.0850572	0	3.19684	0
03/02/2014 22:17	03/02/2014 22:22	0.367735	0.0696743	0	3.45443	0
03/02/2014 22:22	03/02/2014 22:27	0.455302	0.0293683	0.0137208	3.37098	0
03/02/2014 22:27	03/02/2014 22:31	0.363391	0.0873528	0	3.46272	0
03/02/2014 22:31	03/02/2014 22:36	0.407078	0.0594923	0	3.51476	0
03/02/2014 22:36	03/02/2014 22:41	0.262544	0.0617879	0	3.63202	0
03/02/2014 22:41	03/02/2014 22:45	0.50576	0.139543	0.0580895	3.82634	0
03/02/2014 22:45	03/02/2014 22:50	0.415879	0.0275311	0.527711	3.41455	0.0626258
03/02/2014 22:50	03/02/2014 22:55	0.266283	0.0384184	0.544841	3.55747	0.000751334
03/02/2014 22:55	03/02/2014 22:59	0.273626	0.054668	0.485994	3.67646	0.0210586
03/02/2014 22:59	03/02/2014 23:02	0.146121	0.164628	0.542863	3.64405	0
03/02/2014 23:02	03/02/2014 23:07	0.25116	0.0819445	0.0494551	3.99667	0
03/02/2014 23:07	03/02/2014 23:11	0.572233	0.0497585	0	3.99937	0
03/02/2014 23:11	03/02/2014 23:16	0.354661	0.0263884	0	3.91889	0
03/02/2014 23:16	03/02/2014 23:21	0.375435	0.124081	0.0877914	3.88179	0
03/02/2014 23:21	03/02/2014 23:25	0.333888	0.0665437	0	3.75438	0
03/02/2014 23:25	03/02/2014 23:30	0.407112	0.0107658	0.0158437	3.86986	0
03/02/2014 23:30	03/02/2014 23:35	0.420686	0.013591	0.0179252	3.62972	0
03/02/2014 23:35	03/02/2014 23:39	0.427246	0.0430298	0	3.62714	0
03/02/2014 23:39	03/02/2014 23:44	0.543477	0.0621354	0	3.68768	0
03/02/2014 23:44	03/02/2014 23:49	0.451087	0.0314655	0.272866	3.27193	0
