PMF_m/z	HOA	COA	BBOA	OOA1	OOA2	OOA3
138.047	2.47512E-05	0	0.00150454	0	6.79598E-05	0
138.068	0	1.35942E-05	0.00227658	3.00051E-07	0.000123251	0
138.105	4.26501E-05	0.000123492	0.00119547	0.000102998	4.77078E-05	8.67968E-06
138.141	0.000475293	0.000102904	0.000408719	1.18796E-05	0	3.24048E-06
139.027	7.11853E-05	4.58989E-05	0.000207736	0.000158914	0.000324918	0.000176325
139.055	3.41313E-05	0	0.0126825	0	0.000246969	0
139.063	5.05343E-06	3.15943E-06	0	1.62488E-06	0	2.45512E-06
139.112	0	0.000317709	0.00150566	0.0001027	7.80224E-05	0
140.011	6.81875E-06	0	0.000119764	1.31594E-05	5.62844E-05	2.17875E-05
140.047	4.11756E-05	9.51142E-05	0.00204127	0	0.000277217	4.29552E-05
140.084	2.61279E-06	0	0.000708703	8.29622E-06	3.35814E-05	0
140.12	1.97027E-05	2.52238E-05	0.000361461	1.92977E-05	8.48797E-06	8.9167E-08
140.156	0.000171498	0	7.84497E-05	5.10546E-06	1.55978E-07	4.88274E-06
140.982	8.37113E-06	7.15031E-06	8.36121E-06	5.7784E-06	4.73179E-06	2.41933E-06
141.019	5.85187E-05	0	0.000768589	0	8.54462E-05	7.2226E-06
141.043	0	3.18237E-05	0	6.17467E-06	0.000375038	0
141.07	0.00121394	0.000673804	0.00420957	0.000397516	0.000370033	0.000300974
141.092	0.000165938	0.000504056	0.00254656	0.00015414	5.96604E-05	0
141.164	0.000402917	7.51507E-05	0.000250806	1.96414E-05	8.13678E-06	1.50259E-05
142.014	0	2.02893E-05	0.000329444	1.01006E-05	8.48864E-05	4.63582E-05
142.078	0.000510353	0.000153736	0.000332287	0	0	0
142.099	2.97914E-05	4.79248E-06	0.00186471	0.000029915	1.79322E-05	0
142.172	0.000019099	1.4444E-06	3.47407E-05	1.24419E-06	4.97876E-07	1.16567E-06
143.034	0.000023507	6.35891E-05	0.000507263	0	0.000292751	2.03239E-07
143.071	0	8.43043E-06	0.00505912	6.04774E-06	0.000124324	1.65731E-05
143.086	0.000028441	9.25805E-06	4.34193E-06	5.10208E-06	2.50408E-06	1.34497E-06
144.03	6.7653E-06	0	0	2.21823E-06	2.24518E-06	2.87476E-06
144.042	0	6.21584E-05	0.00218128	1.72665E-05	0.000104345	1.08597E-05
144.079	0	0.000323024	0.00443528	4.78489E-05	7.09053E-05	8.21216E-05
144.094	1.65998E-05	1.0004E-06	0	2.98644E-06	5.77131E-07	1.23529E-06
144.151	4.18509E-06	3.61101E-06	1.82471E-05	3.67148E-06	1.29202E-06	9.77353E-07
145.029	3.18409E-05	0	0.000733082	1.16547E-05	8.82917E-05	4.81933E-07
145.087	7.89705E-06	2.41262E-06	3.12726E-05	2.84318E-06	8.35069E-07	2.07168E-06
146.021	4.74553E-06	8.38511E-07	0	2.95604E-06	1.82528E-06	3.06141E-06
146.037	2.33256E-05	5.04694E-05	0.00200037	2.32822E-05	9.44626E-05	0.000039228
146.073	0	0.000222369	0.00328018	0.000102627	9.88142E-05	6.21052E-05
146.109	6.83628E-05	1.38925E-05	0.000470961	0	8.81851E-07	0
146.131	1.35506E-05	1.46088E-05	0.000117453	7.62328E-06	3.31389E-06	1.84159E-06
147.029	7.68005E-05	4.81523E-05	0.00141967	9.99138E-05	9.74348E-05	0.000125757
147.081	0	0	0.00173955	0.000015821	2.38306E-05	0
148.037	9.20511E-05	0.000044299	0.00214257	2.86851E-05	0.000102206	7.82523E-05
148.074	2.72373E-05	0.000110231	0.00382726	2.26216E-05	7.10652E-05	3.95421E-05
148.11	9.46422E-06	7.30466E-06	8.62234E-05	4.58787E-06	4.20407E-06	2.95481E-07
148.125	0.000313303	0.000045615	0.000730464	0	0	0
149.097	0.0007527	0.000458589	0.00212351	0.000301318	0.000171872	0.0001534
150.019	5.01824E-05	1.48998E-06	0.000393749	4.51245E-05	5.14923E-05	6.97195E-05
150.053	0.000229749	0.000155818	0.0033748	8.09809E-06	5.93392E-05	0.000104052
150.068	0	0	0.000229421	6.55435E-06	2.40978E-05	0
150.105	0.000219394	0.000172504	0.00134186	9.13635E-05	0.000046201	3.51501E-05
151.04	0.000207322	0.000184437	0.00246935	0.00011845	0.00016071	0.000176349
151.076	0.000199317	0.000284145	0.00269828	0.000277214	0.000212589	0.00017312
151.112	0	9.75459E-05	0.00126135	3.58902E-05	3.35081E-05	0
151.149	0.00074726	0.000103572	0.000475906	0	9.73748E-06	4.5022E-07
151.998	2.02156E-06	2.36912E-06	4.16102E-05	5.08013E-06	1.26703E-05	6.01202E-06
152.035	4.99008E-06	2.39424E-08	0.000139559	0	1.27183E-05	1.38503E-06
152.047	4.6662E-06	3.45867E-06	3.30307E-05	2.79415E-06	3.14282E-06	4.65016E-06
152.084	0.000121466	0.000103032	0.00367862	9.6362E-06	8.24207E-06	4.19668E-06
152.156	0.000141173	2.99999E-05	0.000216335	0	0	5.48198E-07
153.019	2.21685E-05	4.02765E-07	0.000395783	2.65098E-06	2.11943E-05	1.14303E-05
153.043	3.13136E-05	0	0.000354656	1.05194E-06	0.000212289	0
153.07	0.000555793	0.000547176	0.00474457	0.000211657	0.000241224	0.000171075
154.001	0.000015049	7.08988E-06	5.95422E-05	8.92048E-06	3.12176E-05	1.25864E-05
154.05	2.65955E-05	0	0.000522848	0	0.000145849	0
154.063	1.18978E-05	8.90622E-06	0	6.41897E-06	1.18207E-06	1.67822E-06
154.078	0.00012007	0.000028824	0.00117033	0	0	0
154.172	0.000103703	2.11193E-05	0.000183169	3.69991E-06	1.98608E-06	4.09938E-06
155.022	1.8456E-06	6.94281E-07	0	3.07819E-06	1.19439E-06	5.2628E-06
155.034	0	0	0.00349456	0	5.02801E-05	0
155.058	0	0	0.000129264	0	4.40865E-05	0
155.071	0	0	0	1.63985E-07	4.33722E-07	1.25911E-06
155.086	0.00106389	0.000839512	0.00343213	0.000290341	0.000151547	0.000131268
155.18	0.000285686	7.64758E-05	0.000244128	1.76743E-05	4.52707E-06	1.09841E-05
156.03	4.02762E-06	2.80668E-06	0	4.18146E-06	6.51142E-06	2.88821E-06
156.042	1.26547E-05	0	0.000650341	1.72012E-06	1.43297E-05	0
156.094	0.000597987	0.000240716	0.00229414	6.68719E-05	2.54653E-05	0.000013605
156.188	3.89771E-05	9.55365E-06	6.98979E-05	3.35232E-06	9.48558E-07	1.70903E-06
157.05	1.81984E-05	1.54397E-06	6.90027E-05	5.53354E-06	6.07306E-06	4.7631E-06
157.102	0.00106459	0.000357006	0.00347767	0.000107645	7.38974E-06	5.14133E-05
157.967	3.22488E-06	4.69419E-07	1.24439E-06	1.82395E-06	9.02243E-07	2.15712E-06
158.037	2.23784E-05	2.86766E-05	0.000378569	1.63546E-05	0.000081541	0.000028449
158.073	6.14974E-05	0.000308535	0.00304982	0	7.57433E-05	6.35274E-06
158.109	0.000191527	6.03965E-06	0.00143708	0	0	0
159.029	2.05938E-05	0	0.000310325	8.89993E-06	9.26566E-05	2.36967E-05
159.066	5.56628E-05	0.000231397	0.00265153	0.000102194	0.000105125	0.000086068
159.102	0	2.03257E-05	0.00156554	0	1.46382E-05	0
159.117	0.00133991	9.62318E-06	0.00149501	0	0	0
160.001	3.56141E-06	2.09791E-06	3.35071E-05	2.37125E-06	5.08125E-06	2.45008E-06
160.037	8.58395E-06	2.41571E-06	3.60621E-05	4.13221E-06	5.19554E-06	1.01231E-06
160.125	0.00014412	6.4754E-06	0.000472716	0	0	0
161.024	1.13313E-06	1.32888E-06	6.49058E-06	2.18972E-07	1.11356E-06	6.66264E-07
161.039	1.27311E-05	0	0.00126262	0	1.90684E-05	0
161.069	3.24612E-05	1.44051E-05	0.00385908	2.81279E-05	1.89618E-05	0.000047311
161.097	0	0.000206734	0.00254573	3.06468E-05	3.70073E-05	0
161.133	0.000869453	0.000239169	0.00128746	0.000080069	4.33855E-06	4.44804E-05
162.032	3.35993E-06	8.74422E-07	4.15262E-05	2.44764E-06	1.71845E-06	2.0222E-06
162.047	3.22679E-05	5.29065E-06	0.000391355	0	1.36346E-06	4.68832E-06
162.068	1.64531E-05	7.76425E-06	0.00062816	9.59201E-06	7.14784E-06	0
162.105	1.73096E-05	2.12121E-05	0.000334321	4.08071E-06	1.63022E-06	0
162.141	0.000239233	6.01071E-05	0.000455016	1.27273E-05	0	1.62667E-07
162.991	0	5.39641E-06	0	1.23719E-05	2.29689E-06	3.41126E-05
163.024	1.33359E-06	6.33379E-07	1.97426E-05	1.48976E-06	2.21792E-06	5.76256E-08
163.061	5.03911E-06	2.94374E-06	0	3.47813E-06	4.46383E-07	2.18539E-06
163.076	1.23744E-05	0	0.00214099	0	0.000012585	0
163.112	0	5.00234E-05	0.00118016	3.07425E-05	4.32522E-05	0
163.149	0.000738969	0.000123875	0.000495197	2.08037E-05	0	8.26905E-06
164.032	5.21042E-06	1.97451E-06	7.55983E-05	1.50842E-06	3.42571E-06	7.382E-07
164.047	9.2712E-06	6.33069E-06	9.54077E-05	2.97462E-06	3.06878E-06	1.66708E-06
164.084	4.63208E-05	5.49997E-06	0.00171584	1.26367E-05	9.57354E-06	0
165.07	0.000708263	0.000554238	0.00565626	8.87038E-05	0.000206711	0.000211754
165.092	0.000134528	0.000149013	0.00165724	2.51805E-05	0	0
165.128	0	1.95976E-05	0.000604329	1.30783E-05	2.40458E-05	0
165.164	0.000342435	2.42554E-05	6.16455E-05	0	8.95379E-07	0
166.014	0.000031879	0	0.000438568	2.59281E-05	2.21392E-05	0.000021794
166.048	0	0	0.000276671	0	4.42965E-05	0
166.078	0.000438085	0.000341607	0.00247985	0.00016076	8.81384E-05	0.000115263
166.172	0.000111397	0.000060533	0.000268035	1.23634E-05	7.06054E-06	3.45463E-06
167.034	0.000444908	0	0.000618766	0	0.000110056	9.98033E-05
167.071	0	0	0.00384932	0	8.72188E-06	0
167.107	0.000142521	0.000191462	0.00310265	2.46776E-05	1.62856E-06	0
168.042	3.45751E-05	7.75151E-05	0.00124664	6.18818E-05	8.62459E-05	9.78657E-05
168.094	0.000326652	0.000237713	0.00209259	0.000118782	5.69668E-05	9.41208E-05
168.188	6.03057E-05	9.91768E-06	0.000104254	8.8366E-06	0	3.52686E-06
168.993	1.78452E-05	0	0	7.2422E-06	0.000012503	2.87968E-05
169.038	3.82494E-06	8.39366E-07	0	6.99228E-07	0.000001348	4.53236E-06
169.05	0	0	0.00364365	0	0.000045544	0
169.087	0	0	7.49035E-05	1.04749E-05	2.38286E-05	0
169.102	0.00060833	0.000263577	0.0032176	0	0	0
169.196	0.000166952	2.03221E-05	0.000184925	5.48231E-06	1.86533E-06	5.68351E-06
170	4.10778E-06	3.38659E-06	4.99737E-05	4.15951E-06	5.02848E-06	3.78124E-06
170.045	6.31938E-05	0	0.00061821	0.000009847	6.60638E-05	1.08786E-05
170.073	0	7.95082E-05	0.00170113	4.15782E-07	3.56166E-05	0
170.109	0.000284684	0.000113773	0.00119382	4.42886E-05	8.80985E-06	2.21181E-05
171.066	2.88442E-05	0	0.00263292	0	3.77837E-05	0
171.081	3.47886E-06	8.73567E-06	0	4.60054E-06	1.78143E-06	1.30456E-06
171.117	0.000596699	0.00013979	0.00222083	0	0	0
172.089	0	1.20731E-05	0.000564252	4.9971E-06	8.10479E-07	0
173.024	1.76079E-05	0	0.000159511	6.58502E-06	1.70293E-05	3.87659E-06
173.069	3.93302E-06	4.12266E-08	3.27027E-06	2.1779E-06	5.49729E-07	1.33679E-06
173.081	4.82259E-06	1.91353E-06	2.57755E-05	3.61604E-06	5.32236E-07	1.32731E-06
173.097	0	1.14956E-05	0.000159083	5.52706E-06	2.85347E-06	3.12025E-06
173.133	0.000576263	0.000130241	0.00109162	5.06352E-05	0	3.19166E-05
174.032	3.39786E-05	0	0.000629893	1.08067E-05	3.09591E-05	1.33437E-05
174.105	1.16561E-05	9.29082E-06	0.000103999	4.60729E-06	2.10063E-06	2.50999E-07
175.024	0	1.78872E-06	1.4199E-06	4.48909E-06	2.73792E-06	2.67229E-06
175.076	5.76371E-05	0	0.000548307	0	0	7.334E-07
175.085	1.42032E-06	2.43373E-07	1.19374E-06	9.40822E-07	2.55326E-07	7.22201E-07
175.087	8.89232E-07	3.24898E-06	0	1.9291E-06	4.9603E-07	1.27114E-06
