PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2_BB-aq
17/11/2011 15:31	17/11/2011 15:36	1.92156564	4.373327179	0.832594284	5.38589E-07
17/11/2011 15:36	17/11/2011 15:41	2.366736435	4.401937277	0.867764023	0.093170195
17/11/2011 15:41	17/11/2011 15:45	2.529830797	3.834677916	0.84335572	0.352123467
17/11/2011 15:45	17/11/2011 15:50	2.732582763	4.38098132	0.88794471	0.107705647
17/11/2011 15:50	17/11/2011 15:55	2.410843863	4.124851717	0.950045487	0.107112842
17/11/2011 15:55	17/11/2011 15:59	3.02148109	4.335034585	1.046001295	0.2071645
17/11/2011 15:59	17/11/2011 16:04	2.973995026	3.877346967	0.929913877	0.284748053
17/11/2011 16:04	17/11/2011 16:09	2.500314481	3.654232215	1.062661298	0.260029506
17/11/2011 16:09	17/11/2011 16:13	2.46686903	3.777417762	0.780308644	0.359023827
17/11/2011 16:13	17/11/2011 16:18	2.277314145	3.873188473	0.999434511	0.208239421
17/11/2011 16:18	17/11/2011 16:23	2.355618769	4.208216122	0.906623359	0.196647849
17/11/2011 16:23	17/11/2011 16:27	2.46510002	5.725204352	0.826647199	1.21464E-06
17/11/2011 16:27	17/11/2011 16:32	2.757231791	5.425903711	0.864620775	5.91507E-07
17/11/2011 16:32	17/11/2011 16:37	3.277763353	5.388742629	0.806323201	0.066688347
17/11/2011 16:37	17/11/2011 16:41	3.455572045	5.276692604	0.624948648	0.160863303
17/11/2011 16:41	17/11/2011 16:46	2.861955815	5.668097888	0.756273238	0.033672911
17/11/2011 16:46	17/11/2011 16:51	3.132664022	5.725163443	0.459492258	0.153673737
17/11/2011 16:51	17/11/2011 16:55	2.863951753	5.286010291	0.932737419	0.058058417
17/11/2011 16:55	17/11/2011 17:00	3.337633131	5.204704252	1.049499956	0.07461425
17/11/2011 17:00	17/11/2011 17:05	3.425406517	5.742347554	0.660279513	0.116360076
17/11/2011 17:05	17/11/2011 17:09	3.755827756	5.824885907	0.769362407	9.08246E-07
17/11/2011 17:09	17/11/2011 17:14	4.198460281	7.003818844	0.459841276	6.24613E-07
17/11/2011 17:14	17/11/2011 17:19	4.419456939	7.569410373	0.467071077	4.695E-07
17/11/2011 17:19	17/11/2011 17:23	5.527464624	7.087930292	0.318783026	0.043591559
17/11/2011 17:23	17/11/2011 17:28	4.119678675	7.844131998	0.187239061	0.089087706
17/11/2011 17:28	17/11/2011 17:33	3.189760951	7.961386005	0.573636992	0.023981383
17/11/2011 17:33	17/11/2011 17:37	3.081098962	7.561381939	0.399750992	5.80228E-07
17/11/2011 17:37	17/11/2011 17:42	2.964921081	7.224754831	0.599413319	6.19468E-07
17/11/2011 17:42	17/11/2011 17:47	2.710036224	6.393716255	0.783165725	4.22656E-06
17/11/2011 17:47	17/11/2011 17:51	2.609802662	6.59268496	0.862890903	3.34285E-06
17/11/2011 17:51	17/11/2011 17:56	2.697165707	10.65295624	4.12212E-07	1.66363E-07
17/11/2011 17:56	17/11/2011 18:01	2.142009438	7.871984793	0.415618664	6.03081E-07
17/11/2011 18:01	17/11/2011 18:05	2.148370172	6.594313626	0.762501211	6.15245E-07
17/11/2011 18:05	17/11/2011 18:10	2.237875708	5.703359475	0.739493674	0.287966543
17/11/2011 18:10	17/11/2011 18:15	2.443473675	5.709893647	0.693472195	0.393276583
17/11/2011 18:15	17/11/2011 18:19	2.427592496	5.852065108	0.915893925	6.57298E-07
17/11/2011 18:19	17/11/2011 18:24	2.798312049	5.959541827	0.69853574	0.129784125
17/11/2011 18:24	17/11/2011 18:29	3.003680625	6.276314526	0.585776059	0.008467933
17/11/2011 18:29	17/11/2011 18:33	3.362345602	5.989496663	0.813550601	3.00309E-06
17/11/2011 18:33	17/11/2011 18:38	3.231075189	6.516928758	0.659453111	0.137894062
17/11/2011 18:38	17/11/2011 18:43	2.873144059	6.836887896	0.01178799	0.160604455
17/11/2011 18:43	17/11/2011 18:47	2.47130156	6.631822617	2.94031E-07	2.09821E-07
17/11/2011 18:47	17/11/2011 18:52	2.293902631	4.331132541	0.018329536	0.160409892
17/11/2011 18:52	17/11/2011 18:57	2.610774785	3.543802787	0.051739863	0.207688885
17/11/2011 18:57	17/11/2011 19:01	2.098554537	3.550792718	0.073491797	3.52907E-07
