PMF_m/z	HOA	BBOA	OOA1_BB	OOA2_BB-aq
67.0139	3.63031E-06	3.13158E-05	3.79735E-05	0.000028611
67.0184	0.000060074	0.001284997	0.0016692	0.0013722
67.0503	0.000112399	0.000187247	9.64796E-05	9.07399E-05
67.0548	0.0303978	0.011727627	0.00738872	0.0102862
67.9898	9.98713E-06	0.000166991	0.000715834	0.000260075
68.0217	6.05993E-07	5.68698E-05	7.47329E-05	5.72171E-05
68.0262	0.000551924	0.00472895	0.00341831	0.00430305
68.05	0.000529246	0.001047159	0.000353468	0.000816399
68.0581	0.00165784	0.000630099	0.000400747	0.000555366
68.0626	0.00706659	0.003286632	0.00166161	0.00181335
68.9977	0.000204748	0.001622403	0.00345002	0.00296512
69.0296	2.39168E-05	0.000204964	0.000147843	0.000185951
69.034	0.00139669	0.00597907	0.0050927	0.00652748
69.066	0.000382485	0.000178209	8.98906E-05	9.79202E-05
69.0704	0.0511833	0.01126622	0.00615248	0.00935018
70.0055	0.000108087	0.00052398	0.00146651	0.000975878
70.0374	6.01182E-05	0.000259295	0.00022015	0.000282353
70.0419	0.000725085	0.003301376	0.00250243	0.00266344
70.0738	0.0027906	0.000598681	0.000334029	0.000508887
70.0782	0.00808396	0.002141838	0.00146833	0.00117126
71.0133	0.000761137	0.002945184	0.00423925	0.00455178
71.0452	3.19833E-05	0.000142838	0.00010815	0.000115345
71.0497	0.00121939	0.002869806	0.00353332	0.00509905
71.0816	0.000434345	0.000121258	6.85937E-05	7.41309E-05
71.0861	0.0364254	0.004186068	0.00369023	0.00328451
72	1.94061E-05	1.75427E-05	3.25644E-05	1.03181E-05
72.0211	0.000168893	0.0012146	0.00126329	0.00206609
72.053	5.24988E-05	0.00012372	0.000153728	0.000221088
72.0575	0.000132414	0.000328708	0.00054689	0.000726636
72.0894	0.00195801	0.000233867	0.000197289	0.000176009
72.0939	3.2196E-06	7.89095E-06	1.48239E-06	6.45468E-06
73.0034	1.35157E-06	1.4543E-06	3.05309E-06	1.04024E-06
73.0078	6.07762E-05	1.98567E-05	5.25653E-05	5.41703E-05
73.029	0.00292151	0.009905994	0.00390466	0.00695739
73.0473	0.000259618	0.000296948	0.00106376	0.000246475
73.0609	6.21779E-06	1.4182E-05	2.39045E-05	3.14521E-05
73.0653	0.000214983	0.000378004	0.000226736	0.000345789
73.0973	4.7957E-07	8.37782E-07	1.70598E-07	6.72504E-07
74.0112	5.92213E-06	1.79769E-06	7.22575E-06	3.46863E-06
74.0156	0.000739033	0.001718282	0.00164981	0.00116725
74.0368	0.000621687	0.002021476	0.00123444	0.00211717
