PMF_m/z	HOA	BBOA	OOA1_BB	OOA2	OOA3_BB-aq
114.141	6.0875E-06	4.00017E-06	5.64599E-06	3.65153E-06	0
115.055	0.00349727	0.00405708	0.00202017	0.0015288	0.000976471
115.112	9.84768E-05	0.000243229	9.21088E-05	1.05504E-05	9.31066E-05
116.063	0.00123811	0.0013947	0.000715595	0.000372372	0.000365466
117.034	0	0	0	0.00012865	0.000290825
117.07	0.00382032	0.00211785	0.00138542	0.000676403	0.000363207
118.027	0	3.33916E-05	3.49769E-06	6.73825E-05	2.36249E-06
118.042	0	0.000742768	8.07855E-05	0.000132111	0.000200945
118.063	0.00014531	0.000530715	9.46177E-05	8.6632E-06	3.54813E-05
118.078	0.00127813	0.000555454	0.000352448	0.0001171	0.000235059
119.034	0.000214876	0.000905554	0.000366577	0.00031483	0.000317268
119.071	0	0.00113465	0.000149936	0.000250584	0.000138677
119.086	0.00491151	0.000956141	0.00105217	0.000221297	0.000477514
120.021	5.61159E-05	0.000340842	6.15314E-05	0.000169761	0.000120283
120.058	0.000247414	0.0010379	0.000344641	0.000326493	0.000241903
120.094	0.00138399	0.000553819	0.000413296	0.000115895	0.000169784
121.029	9.38748E-05	0.000939366	0.000203334	0.000407968	0.000202083
121.065	0.000198799	0.00137318	0.000636301	0.000535581	0.000570548
121.102	0.00324006	0.00119193	0.000972323	0.000187324	0.000366397
122.037	4.06369E-05	0.000908139	0.000245568	0.000426532	0.000243368
122.073	0.00013605	0.000764079	0.000376772	0.00028075	0.000403355
122.11	0.000822498	0.000322738	0.000266632	3.11675E-05	0.00014745
123.029	1.61642E-05	2.17592E-05	0	3.19167E-05	6.48378E-05
123.045	0	0.00126473	0.000277516	0.000498073	0.000331489
123.081	6.21082E-05	0.00104914	0.000659783	0.000355734	0.000765184
123.117	0.00359115	0.000405772	0.000641643	0.000131354	0.000237628
124.016	0	0.000226048	5.17849E-05	0.000166287	0.000114589
124.052	0	0.000843362	0.000261198	0.000425562	0.00034359
124.089	8.22777E-05	0.000410667	0.00024491	8.04273E-05	0.0003273
124.125	0.000683121	0.000143864	0.000158865	4.43837E-06	6.42138E-05
125.024	0	0.000592537	0.000147693	0.00047408	0.000223854
125.06	0	0.00101322	0.000547883	0.000659113	0.000675235
125.097	0.000144809	0.00055097	0.000376894	0.000116325	0.000332851
125.133	0.00135898	8.71425E-05	0.0001451	4.34313E-05	0
126.047	0.000191923	0.000886722	0.000122539	0.00023663	0.000165326
126.068	0	0.000426951	0.000179898	0.000131662	0.000295772
126.104	2.03254E-05	0.000158244	0.000097938	1.25569E-05	0.000149829
126.141	0.000316096	2.01609E-05	0.000039061	9.52785E-06	9.72196E-06
127.055	0.000796149	0.00149899	0.000488902	0.000538917	0.000421679
127.076	0	0.000360212	0.000167039	0.000109949	0.000405131
127.112	0.000532681	0.000176326	0.000164391	4.46294E-05	8.54494E-05
128.063	0.00227102	0.00184139	0.000882741	0.000606364	0.000259589
129.019	0.000279265	0.000373062	0.000147131	0.000369142	0.000284515
129.07	0.00292236	0.00204579	0.00111239	0.000656793	0.000386789
130.027	4.74376E-05	0.000228237	0.00004754	0.000134346	9.43185E-05
130.063	0.000127557	0.00066607	0.000110578	0.000140058	0.000108936
130.078	0.00106079	0.000609997	0.000313566	7.49021E-05	0.000111189
130.98	2.13747E-05	2.64508E-06	1.37639E-05	8.4442E-06	0
131.034	4.95199E-06	0	1.0674E-06	1.90827E-05	0
131.071	0	0.000103416	0	8.46255E-06	0
131.086	0.00267888	0.0010609	0.000676974	0.000209573	0.00037536
132.021	1.93052E-05	5.44693E-07	5.11465E-06	3.08733E-05	0
132.025	3.6015E-06	9.19691E-07	1.42605E-06	3.6676E-07	1.74691E-08
132.094	0.000787901	0.000395876	0.000261963	3.87569E-05	0.000135981
133.05	0	0.000234451	2.33751E-05	0.000203294	4.51622E-05
133.065	0.000178359	0.00123561	0	0	0.000490011
133.089	9.56256E-05	7.28842E-05	4.97152E-06	7.9807E-06	0
133.102	0.00232721	0.000787131	0.000402121	6.25671E-05	0.000331455
134.016	2.09245E-06	0	5.83611E-06	3.47195E-06	0
134.058	0	0.000546328	3.39252E-06	0.000116098	0.00013896
134.073	0.000177975	0.000343269	0.000124714	0	0.000214373
134.109	0.000738786	0.00032756	0.000204451	4.60627E-05	9.01106E-05
135.029	1.92389E-05	0	0.000030657	3.15209E-05	1.22039E-05
135.081	0.000108665	0.000814033	0.000432186	0.000251676	0.000382842
135.117	0.00200939	0.000538838	0.000450387	5.87648E-05	0.000171011
136.052	0	0.000721194	0.000125815	0.000258228	0.000172709
136.089	7.27862E-05	0.000379982	0.000177816	7.57075E-05	0.000200893
136.125	0.000439989	0.00015471	0.000117746	0	5.76495E-05
137.024	0	0.000477902	0.000025636	0.000185959	0.000152671
137.06	6.19092E-05	0.00133778	0.000273076	0.000390147	0.000263175
137.097	1.68331E-05	0.000518994	0.000334139	7.06979E-05	0.000349986
137.133	0.00146124	0.000131653	0.000226587	4.10577E-05	5.38192E-05
137.999	3.05824E-06	0	3.2996E-07	5.4374E-06	1.56984E-06
138.047	0	0.000283719	0	0	3.66776E-05
138.068	0	0.000299091	1.50047E-05	2.40437E-05	0.000244454
138.105	4.15687E-05	0.000242221	0.000100713	1.79482E-05	0.00013453
139.076	0	0.000106586	2.04895E-05	0	0.000490546
139.112	2.71704E-05	0.000279494	0.000152019	2.90578E-05	0.000156993
139.149	0.000365374	1.96941E-05	1.91118E-05	0	1.05968E-05
140.011	0	4.52492E-05	7.24902E-06	6.07304E-05	5.76529E-05
140.047	0	0.000477875	3.26547E-05	0.000188552	0.000117686
140.084	7.04084E-06	5.36623E-05	0	0	0.000122158
140.982	1.24184E-05	2.83814E-05	0.000012841	1.70473E-05	1.93067E-05
141.019	9.4133E-06	7.78533E-05	1.6511E-15	8.61103E-05	0.000191998
141.07	0.00142413	0.00124294	0.000466675	0.000453969	0.000222458
141.092	2.36699E-05	0.00052516	0.000179025	0	0.000148688
142.063	0	0.000493368	0.00003695	0.000184776	0.000120462
142.078	0.000726815	0.000369622	6.34663E-06	0	3.02857E-05
142.099	0	0.00020814	0	0	0.000115356
142.172	1.80593E-05	4.15013E-06	2.70903E-06	0	5.18764E-06
143.034	0	0.000259739	5.93531E-09	0.000112227	0.000182207
143.071	0	0.000711118	9.68802E-05	0.000149031	8.16088E-05
143.107	3.18306E-06	3.53592E-05	7.91522E-06	0	8.70457E-06
144.042	0	0.000455388	2.11814E-05	9.46021E-05	0.000133987
144.079	0.000201951	0.000746672	0.000143564	9.02781E-05	0.000119378
144.151	4.16327E-06	2.71012E-06	1.0237E-06	1.40023E-06	5.1411E-07
145.014	3.29299E-06	2.75738E-06	9.34558E-07	4.83483E-06	5.26849E-06
145.029	0	0.000243725	0	8.03667E-05	8.16553E-05
145.087	1.16483E-05	1.17226E-05	4.58607E-06	3.85097E-07	7.1552E-06
146.021	6.44743E-06	7.35014E-06	2.60555E-06	3.53095E-06	4.32591E-06
146.037	0	0.000387489	0.000047837	9.65192E-05	0.000129115
146.073	0	0.000703892	0.000128603	9.26077E-05	0.000140155
146.094	0.000024746	1.37107E-05	4.88289E-06	3.24127E-06	0
146.109	6.85739E-05	0.000184524	0	0	4.18559E-05
146.131	1.01733E-05	1.15912E-05	3.38043E-06	3.13783E-06	6.38104E-06
147.029	9.01056E-05	0.000412497	7.63111E-05	0.000186201	8.89074E-05
147.066	2.58977E-05	0.000957776	0.000155084	0.000146654	0.000196635
147.117	0.0012829	0.000502356	0.000310764	6.41459E-05	0.000122515
148.016	3.77809E-05	0	0	2.44259E-05	2.90463E-05
148.037	8.23708E-06	0.000497166	4.58041E-05	0.000132461	8.66889E-05
148.089	1.09257E-05	0	5.48418E-06	2.48718E-06	2.86032E-06
148.11	1.32048E-05	2.94459E-05	3.54728E-06	0	0.000016721
149.045	0	0.000800635	0.000126637	0.000122199	0.000419076
149.097	0.000703677	0.000650878	0.000351223	0.00016747	0.000243368
150.053	0.000170495	0.000649507	8.07167E-05	0.000147162	0.00011554
150.105	0.000207047	0.000245761	0.000120515	0.000029942	0.000125771
151.003	0	0	6.35153E-06	2.77505E-05	0
151.04	0.000150254	0.000877385	0.000105884	0.000246868	7.35913E-05
151.076	0.000163364	0.000868471	0.00026031	0.000196666	0.000262692
151.149	0.000592825	7.28157E-05	5.82815E-05	1.07335E-05	3.44383E-05
152.047	9.93516E-06	7.39709E-06	6.6684E-06	4.76764E-06	1.29481E-06
152.063	0.000654469	0.0012384	4.20797E-05	0.000117473	0
152.084	0	0.0004253	8.65413E-05	0	0.00020703
153.019	0	6.64277E-05	0	2.20068E-05	8.36515E-05
153.07	0.000702362	0.0010935	0.000250237	0.00024975	0.000165907
153.164	0.000194366	4.12307E-05	2.69403E-06	1.18159E-05	8.97969E-06
154.063	2.06907E-05	8.61824E-06	6.89924E-06	3.93181E-06	0
154.078	0.000135945	0.000382752	0	0	5.41881E-05
154.099	0.000014175	0.00017419	1.02876E-05	0	0.00011793
155.034	0	0.000363493	1.79362E-06	2.66221E-05	0.00020241
155.086	0.00113871	0.000934408	0.000390151	0.000110532	0.000262864
156.042	0	8.91259E-05	7.43272E-06	0	3.59208E-05
156.079	8.17868E-06	2.19491E-06	0	4.67361E-06	0
156.094	0.000463988	0.000398097	0.000123891	2.01489E-05	9.63767E-05
156.977	1.63946E-06	6.44337E-07	5.96638E-07	5.67658E-07	3.21457E-06
157.014	0	1.68076E-05	0	2.53268E-06	2.26337E-05
157.05	6.6324E-06	1.09461E-05	5.40795E-06	9.04449E-06	8.09003E-06
157.087	0.000002731	4.30997E-07	3.63423E-06	0	6.50912E-06
157.102	0.00101727	0.00057091	0.000214891	2.34856E-05	0.000113684
157.967	2.80836E-06	1.41021E-06	1.66029E-06	2.7843E-06	3.27697E-06
158.037	0	0.000166647	0.000017304	6.90099E-05	6.63117E-05
158.073	0.000101239	0.000651353	2.57799E-05	9.26304E-05	7.80163E-05
158.094	2.34571E-05	1.25903E-05	1.09436E-05	1.34548E-06	0
158.109	0.000103735	0.000256242	0	0	5.04026E-05
159.029	0	0.000104545	0	6.38001E-05	5.19885E-05
159.066	6.80294E-05	0.000663011	0.00011975	0.00011781	0.00015716
159.117	0.000834608	0.000369844	7.03012E-05	4.58564E-06	8.48892E-05
160.001	0	1.89028E-05	0	0.000006247	7.80681E-06
160.037	9.22671E-06	0.000014042	1.51549E-07	7.06994E-06	5.46363E-06
160.052	0	0.000440544	4.23093E-05	0.000056599	0.000110927
160.089	9.53149E-06	0.000433718	0.000051595	1.68183E-05	8.23948E-05
160.11	0.000013021	7.9747E-06	2.97232E-06	0	5.62997E-06
161.009	0	1.80478E-06	1.12952E-05	1.98168E-05	5.82149E-06
161.097	0.000300333	0.000412677	0.000163687	0.000013878	0.000152614
162.016	5.28354E-06	9.40896E-06	0.000007345	1.69124E-05	1.90016E-05
162.032	4.28786E-06	1.56086E-05	0	1.78345E-06	5.76202E-06
162.047	2.50822E-05	0.000177144	0	0	7.49652E-05
162.068	0	0.000120538	0	6.56125E-06	8.39583E-06
162.105	0.000059778	8.80656E-05	0	0	2.14529E-05
162.141	0.000186107	7.95887E-05	3.73021E-05	0	2.54573E-05
163.04	1.24603E-05	1.55406E-05	0	6.3832E-06	2.31232E-06
163.055	1.54023E-05	6.25084E-06	1.76637E-06	2.06661E-06	3.0465E-06
163.061	5.30227E-06	3.58329E-06	8.92921E-07	1.96757E-06	0
163.112	0	0.000199811	7.34179E-05	3.24218E-06	0.000175501
163.149	0.000612764	9.93277E-05	8.56182E-05	0.000012322	1.72571E-05
164.063	3.02113E-05	7.61969E-05	6.68064E-06	1.32281E-06	1.04411E-05
164.084	1.43134E-05	0.000225178	0	5.37977E-06	0.000124111
164.156	0.000093691	0.000034348	6.68156E-06	0	9.94158E-06
165.019	0	0.000169537	4.75721E-05	0.000119727	8.19208E-05
165.07	0.00085058	0.00140251	0.000188531	0.000284542	8.81093E-05
165.092	1.79034E-05	0.00031173	0	0	0.000165346
165.128	0	0.000109208	1.91379E-05	0	4.16749E-05
166.048	0	0.00014379	0	2.18066E-05	5.37485E-05
166.078	0.000463697	0.000689966	0.000175948	0.000120367	9.40082E-05
166.172	8.82199E-05	4.98954E-05	0.000030357	0	2.02238E-05
167.071	0	0.000626191	0	0	0.00025178
167.086	2.98309E-05	2.09817E-05	0	5.29211E-06	0
167.107	0.000103605	0.000303733	0.000135754	0	0.000132939
168.042	4.01192E-05	0.000448715	4.29905E-05	0.000120085	3.33644E-05
168.094	0.000345737	0.000597865	0.000138853	7.37934E-05	6.43844E-05
168.993	6.01631E-06	2.73497E-06	1.17746E-05	2.25089E-05	5.83666E-06
169.05	0	0.00048986	0	3.98231E-05	0.000140213
169.087	0	0.000168087	0	2.86256E-07	6.33243E-05
169.102	0.000496095	0.000478102	0.000129288	0	7.27415E-05
170	1.08453E-05	1.49282E-05	2.79368E-07	1.27705E-05	1.56584E-05
170.073	9.93167E-06	0.00036594	1.61268E-05	7.73622E-06	5.23091E-05
170.109	0.000255533	0.000237358	6.58007E-05	1.61889E-05	6.55256E-05
171.029	9.09118E-07	0.000146644	5.72299E-06	6.30357E-05	5.48207E-05
171.066	0	0.000437733	0	0.000027523	6.50171E-05
171.102	4.99911E-06	8.10868E-06	0	4.25865E-06	9.78816E-06
171.117	0.000441001	0.000418611	5.65334E-05	0	7.74509E-05
172.074	2.41108E-06	0	1.82791E-06	1.06816E-06	0
172.089	4.92384E-06	0.000170345	7.06242E-07	0	1.00909E-05
172.125	0.000180418	0.00016152	4.55255E-05	6.48315E-06	1.82517E-05
173.045	1.31734E-05	2.04141E-05	5.00137E-06	0	1.09991E-05
173.06	2.90666E-06	9.76766E-06	1.92159E-06	0	2.27216E-06
173.133	0.000531914	0.000252001	8.56917E-05	0.000019198	1.91343E-05
