	slope	intercept	low_slope	high_slope
0	-0.0004983118673835128	0.9401105188182174	-0.0005853442659904196	-0.00041394652676392024
1			0.0033579881656804734	
2	-0.00018781470048615607	1.6149257713424396	-0.0003036816617786314	-7.141182714233048e-05
3			-0.003837430318735318	-0.0016484446460945036
4	0.005999668065264152	2.232620691228162	0.002044058709071388	0.010001616789788831
5	-0.00011143444393633663	0.811729578479354	-0.00016572810749741561	-5.815622580941867e-05
6	0.004697571064722222	0.7695666816358333	0.00401885448808017	0.005374304712556306
7	-2.111389190073753e-07	0.6111465845854933	-3.5232643719806786e-05	3.526682260058438e-05
8	-0.004253873244348826	1.5802624807082903	-0.01519998084175084	0.008385552998430135
9	-6.602437213905506e-07	0.4999194889070622	-4.396708183402417e-05	4.264986458671863e-05
10	-0.00016227140985492053	0.9191316986332945	-0.00019350787295172272	-0.0001317262750476306
11	-0.0005395642752376272	2.5834818650280984	-0.0007123332525925926	-0.000372080751777585
12	0.00344433825840567	3.8363073391697338	0.00043744262580645225	0.006587325053902117
13			0.000826630653061225	0.002213766400654796
14	-0.0007946392025297621	0.9740550472857037	-0.0010249188842992103	-0.0005693141960479243
15	-3.580040078391583e-05	0.7121512540245437	-6.62152162119328e-05	-5.357391021921706e-06
16				
17	-0.00041619881500987497	0.7365237867017775	-0.0005068854735152488	-0.00032946507012987004
18			-0.0005931407651374933	-0.000396029651884298
19	-0.0001456309313096546	1.0974143539455934	-0.00024453298042468024	-4.764266723842195e-05
20	0.02712619871323529	0.9053887992592458	-0.010540976472883457	0.0648171838032787
21	-0.0010945565526016983	3.156392297762171	-0.0013957265855457234	-0.0008070358508366849
22	0.0009605829531395898	0.6758079408508401	0.0005345804835823214	0.0013734351909120896
23	0.0061861600041781956	0.8196101140088315	0.00436092450447441	0.008002349960920538
24	0.00013975278937947497	0.4176435208766621	-3.634128846382311e-05	0.00031340347761824326
25	0.23262010725623583	4.565537813605442	0.01926434139784927	0.5114568749999999
26	0.00010045429376833785	0.4842372227548794	6.142421977124181e-05	0.0001405227286587602
27			0.007346427326987548	0.01238016382882883
28	0.0008404801373270313	0.5565685058155263	0.00041488626641998167	0.001270630446263966
29			3.890932850824318e-05	7.86212852146238e-05
30	-5.826145285935077e-05	0.5275715925015455	-0.00017913127113702615	5.595240743807956e-05
31	0.00011388151201417442	0.5877451006552519	3.807923260635647e-05	0.00019243398367895542
32			0.00021906217650103504	0.0017274362638359647
33	-0.01217207395833333	0.5973250479910713	-0.020713068509615386	-0.0057732128732048355
34	-0.0008565631999271624	1.989423571227233	-0.0011837079909013633	-0.0005331303373870758
