	slope	intercept	low_slope	high_slope
0	-0.006283701105801474	28.575104223588234	-0.008276108098174188	-0.0042955548761235965
1			0.10048421841914264	
2	-0.001925202511747421	11.61750933150053	-0.002618870964122835	-0.001278883132120432
3			-0.04188711001473275	-0.012650621428759138
4	-0.03551310150636544	12.939905080172743	-0.0450647573592837	-0.026611820647985025
5	2.9451637039221694e-05	18.697363654977025	-0.0010429545404978013	0.0011069434669717015
6	-0.006223022835971648	8.049930062496596	-0.008137753697950707	-0.004455856520150141
7	-0.002079573689183433	14.130621191029842	-0.0024947376188089454	-0.001665328268673229
8	0.048024522092441166	15.743686641157272	-0.0406404606161767	0.12744062369972164
9	-0.000999048396919788	10.149702772928077	-0.001589099162966995	-0.00040176615753621087
10	-0.002068297852976344	19.21915061616803	-0.002634496326920392	-0.00151448430377437
11	-0.004769742964933512	16.666841313872986	-0.005491268468594623	-0.004047239799882302
12	-0.001902797062955077	11.824612803596994	-0.005480353011293206	0.0016396758601269943
13			0.0007392345338283545	0.01298957937657968
14	-0.00604486506235514	26.895610460043006	-0.01143575650463255	-0.0006955595592748627
15	-0.001244663197518164	15.619466468738942	-0.0018613168064265566	-0.000652896268671531
16				
17	-0.0012313868755270318	11.881872708592507	-0.002401385991728537	-7.146675846664604e-05
18			0.0009291079649806312	0.0018640718005374216
19	0.000204121746387483	18.12722314494145	-0.0012409176871333181	0.00170993996085025
20	0.4218229395812756	33.66164910705371	0.1179918241839749	0.6943033680131597
21	-2.838996256485726e-05	5.622258764573827	-0.0004936567361943178	0.0004118811967133972
22	-0.024481818231866924	24.41665610444835	-0.031591711878352836	-0.017843281415321384
23	-0.022781294092813292	19.40432097134082	-0.03490268745020327	-0.010482354484509538
24	0.022498837105695932	10.364686983942864	0.016819076102123347	0.028715461620654012
25	-0.20128580858888256	8.812360227902644	-0.3499308953523193	-0.07894098330976836
26	-0.001343864330493744	15.194701433888923	-0.0020353558159693047	-0.0006463673322932168
27			0.05204293121227378	0.07384473566785821
28	-0.0012880040415864024	10.735694992784861	-0.005387702793570364	0.003123443034786965
29			-0.0005529231132688752	1.2090206744488572e-05
30	0.0010906558735729321	15.274857159729288	-0.001618449959776052	0.003915181779550862
31	0.0021794550145553164	9.574373604855582	0.0013626854873986375	0.003011875962828983
32			-0.00010490297161759224	0.01743031218269656
33	0.03848805748164916	6.8927779857955285	-0.009117391987938915	0.07389780808706092
34	0.0023547036030802933	19.331041317958874	-0.0008275605160423136	0.005716501235133096
