	slope	intercept	low_slope	high_slope
0	-0.0015691987528207616	4.317597300180843	-0.00196793682842922	-0.0011804254182578642
1			0.02261594202898551	
2	-0.0005166584440474706	3.888442253443573	-0.0007130416300917432	-0.0003192478957610786
3			-0.006118588257866737	-0.00017960483630984054
4	-0.019111054685894763	5.728275601342322	-0.023645798335123522	-0.014662875196232328
5	-0.00156345550544207	4.858553679052975	-0.0017986478651284491	-0.0013348432277551022
6	0.007283876384469711	0.7201808048465872	0.006503682750388889	0.008118002141176105
7	0.00013790249063736014	1.4129529284731306	6.794326132771348e-05	0.0002092739850012146
8	-0.12172833674356087	15.353251333935045	-0.19841071199999988	-0.043214320313862256
9	-0.0006936274509803941	2.878104108220213	-0.0008361600210554021	-0.0005545261348980582
10	-0.00014631784132730275	2.5476714034543018	-0.00022010109729334284	-7.278590447563838e-05
11	-9.681303224936802e-05	6.1894661980690024	-0.0005056206517284452	0.00030379452146952145
12	0.014890209219875524	10.204773931080068	0.00776390657988416	0.02204397975507305
13			-0.002004979637125458	0.0011135315406224594
14	0.0002514875429046563	2.5911223067058904	-0.0003205963444857494	0.0008180758068971626
15	-0.0006814722675120771	4.645927703723319	-0.0008245434131736532	-0.000541697297466368
16				
17	-0.0005517121440832677	2.408424741353097	-0.0008100310670229087	-0.0002925237530696931
18			-0.00026663188449417265	0.00028396697853766363
19	-0.0030261928764320364	5.4389292694107745	-0.003361010133884699	-0.002705153297980403
20	0.274035930327869	5.398954334183999	0.11548059709132538	0.4140137517139601
21	-0.0005287713694173328	6.009499313161157	-0.001019010278672872	-3.935545343363237e-05
22	-0.0013656223637000097	3.676515023923603	-0.0026117927083333338	-0.00010596731085526325
23	0.007372097538968748	4.48215945639006	0.0033017919343663296	0.011498711499999998
24	-0.0021891363441672966	3.7959394016093473	-0.0029359071690214554	-0.0014473903815558462
25	0.34718282894736846	4.966843268604978	0.08099824194093125	0.5669651810726952
26	-0.0004202626506090822	4.003102047696568	-0.000607641521853607	-0.0002280407485279058
27			0.019607423684163943	0.027101182490234382
28	0.0014039121214185117	2.4715369937360108	0.00036306997172391394	0.0024551614688332695
29			-0.0002961225835020241	-0.00015911402188782493
30	-0.0012686510359080346	3.4188085435908038	-0.0018250449184699007	-0.0007440517147065017
31	-0.0009804128257216676	4.4170767812844485	-0.0013724646931768257	-0.0005942428392658513
32			0.0038061835748792287	0.008425163739266198
33	-0.011137926979302354	6.844861259395956	-0.06414388573948102	0.03547903061224492
34	-0.0014916588956692153	5.6896446140311525	-0.0022837221160164453	-0.0007026205631809378
