	slope	intercept	low_slope	high_slope
0	-0.0015691987528207616	4.317597300180843	-0.002042187375204212	-0.001107539813253793
1			0.02007764870654144	
2	-0.0005166584440474706	3.888442253443573	-0.000751032252781711	-0.0002811699045667661
3			-0.006760217276116005	0.0003916828648741172
4	-0.019111054685894763	5.728275601342322	-0.024395914908336227	-0.01378974992814027
5	-0.00156345550544207	4.858553679052975	-0.0018454151395641992	-0.0012908605973025048
6	0.007283876384469711	0.7201808048465872	0.0063567984166666685	0.008280816620687562
7	0.00013790249063736014	1.4129529284731306	5.437510899674816e-05	0.00022352969968683813
8	-0.12172833674356087	15.353251333935045	-0.2127047656395892	-0.02706122222222223
9	-0.0006936274509803941	2.878104108220213	-0.0008637075575420976	-0.0005275236308281143
10	-0.00014631784132730275	2.5476714034543018	-0.00023433544631306592	-5.8674708598496626e-05
11	-9.681303224936802e-05	6.1894661980690024	-0.0005834221669550169	0.00038199939217588096
12	0.014890209219875524	10.204773931080068	0.006431344924664408	0.023425775436448457
13			-0.0022839583488955813	0.001415528377141516
14	0.0002514875429046563	2.5911223067058904	-0.00043017519211009333	0.0009323457067619693
15	-0.0006814722675120771	4.645927703723319	-0.0008523844875028659	-0.000515014587002396
16				
17	-0.0005517121440832677	2.408424741353097	-0.0008585344026673504	-0.00024101888270459666
18			-0.00032024713273195516	0.0003356917847992132
19	-0.0030261928764320364	5.4389292694107745	-0.003424242631352883	-0.0026423855324307945
20	0.274035930327869	5.398954334183999	0.08547305831419445	0.46259740639873076
21	-0.0005287713694173328	6.009499313161157	-0.0011115395872867907	5.215936670458919e-05
22	-0.0013656223637000097	3.676515023923603	-0.0028542660592573003	0.0001337868326678498
23	0.007372097538968748	4.48215945639006	0.0025288024691357946	0.012286714127095439
24	-0.0021891363441672966	3.7959394016093473	-0.003075923193027208	-0.0013099684294871781
25	0.34718282894736846	4.966843268604978	0.04615801098191206	0.5977638015491452
26	-0.0004202626506090822	4.003102047696568	-0.0006433551075268818	-0.0001924556476079168
27			0.018937539612735216	0.027934283604324494
28	0.0014039121214185117	2.4715369937360108	0.00017581257455667718	0.00265530384057971
29			-0.00030947706896551733	-0.00014585599133261123
30	-0.0012686510359080346	3.4188085435908038	-0.0019312335904911415	-0.0006448838650402696
31	-0.0009804128257216676	4.4170767812844485	-0.0014474783168859648	-0.0005241727292147311
32			0.003414909069981585	0.008983688271604937
33	-0.011137926979302354	6.844861259395956	-0.06919526239067057	0.04309976654846329
34	-0.0014916588956692153	5.6896446140311525	-0.002428930551421793	-0.00055006350724852
