	slope	intercept	low_slope	high_slope
0	-0.0006541366437409862	1.2041813311940839	-0.0008026983956227775	-0.0005168378559535958
1			0.005281567992599445	
2	-0.00027487844871830177	0.961206610628087	-0.0003363815235586207	-0.00021422446429645006
3			-0.0037937704934370444	-0.0020284626196886155
4	5.425664328231494e-05	1.034586473559736	-0.0015291744302721084	0.0016106942294159044
5	-0.0002313716502049538	0.8453737436135798	-0.0002922222344982595	-0.00017211007973998437
6	0.0011319167524104692	0.4870632780647382	0.0008902996362757737	0.0013728863640856425
7	-9.651872165982062e-05	0.47881546766319505	-0.00012168091637182883	-7.191353777258567e-05
8	-0.004156564832829829	1.40441244256848	-0.016940696249999998	0.008696661481481483
9	2.7858673948887064e-05	0.20662234006793942	2.4395367754088783e-06	5.307177492025894e-05
10	-0.00014146882985783513	0.658207614326347	-0.0001660103232568825	-0.00011780443240425608
11	-0.00028729305543087987	1.1688217401254488	-0.00036653620520330974	-0.00020991197916666611
12	0.00027538351840837485	4.828031068747559	-0.003358986835290921	0.004232841093914702
13			-0.0022249650525715072	-0.0015647920424829928
14	-0.000325896279434851	0.9025483718885727	-0.0006075063123698466	-6.0108493749789895e-05
15	-0.00010552633287299886	0.6208247866920618	-0.00013690033240136692	-7.549043592764573e-05
16				
17	-0.00018494271750805585	0.3924927374543502	-0.00024289658202903802	-0.00013041503992901495
18			-0.00029313493182863564	-0.00019079578415295078
19	-0.00034716871149595955	0.9104968303030969	-0.000426390571529019	-0.0002681563503220613
20	0.12494565722925809	1.323346896109684	0.0691089805765766	0.18727717666363267
21	-0.0002905973822662113	1.0174890702028407	-0.00037883304794868487	-0.00020318407224308822
22	-0.00033475070036450595	0.7236396874608851	-0.0007258595776627689	2.2593116937978972e-05
23	0.0004111526982385264	0.579999649825536	-0.0004175460489993096	0.0011805896067829146
24	0.0003055699515205017	0.3072320072469494	0.00011478945175291408	0.0005143693784904242
25	0.08203367955603293	1.7961877664921235	-0.0066777406981571984	0.17548030586419758
26	-1.8124144559709046e-05	0.4756059180586135	-5.397850762834205e-05	1.7701780303030037e-05
27			0.005837486414473683	0.009238973684955472
28	-0.00014987781113466245	0.25905613246871784	-0.0003196892299658994	1.0364667731447184e-05
29			-3.2615507147414265e-05	-4.116524960500213e-07
30	-6.659816328677923e-05	0.4059571494000915	-0.00017788667953667962	3.705937290669353e-05
31	-4.174635412875415e-05	0.462928561174809	-9.995563183000238e-05	1.6533111305401472e-05
32			9.86413883735314e-05	0.0005454452926208652
33	-0.014899005086293778	0.8328064888240523	-0.026795898784013613	-0.005931244218750001
34	0.00018540930148576562	0.840038034015175	-2.0383485849635047e-05	0.00036912346688092705
